#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
370580:9063,1:1,07/12/23 18:17:16,STABLE BEAMS,6800,446085.175582549,425301.309308837,55.5,AVG
370580:9063,2:2,07/12/23 18:17:40,STABLE BEAMS,6800,456985.377457183,436915.049917217,56.9,AVG
370580:9063,3:3,07/12/23 18:18:03,STABLE BEAMS,6800,457861.443155691,433428.934739521,57.0,AVG
370580:9063,4:4,07/12/23 18:18:26,STABLE BEAMS,6800,457989.789974099,436104.070951277,57.0,AVG
370580:9063,5:5,07/12/23 18:18:50,STABLE BEAMS,6800,458441.345406284,438889.358630301,57.1,AVG
370580:9063,6:6,07/12/23 18:19:13,STABLE BEAMS,6800,457547.978447560,437610.649139167,56.9,AVG
370580:9063,7:7,07/12/23 18:19:36,STABLE BEAMS,6800,438257.168881056,421533.711250961,54.5,AVG
370580:9063,8:8,07/12/23 18:19:59,STABLE BEAMS,6800,433075.348203286,422246.381535702,53.9,AVG
370580:9063,9:9,07/12/23 18:20:23,STABLE BEAMS,6800,433038.743286933,421814.530754408,53.9,AVG
370580:9063,10:10,07/12/23 18:20:46,STABLE BEAMS,6800,438370.718016919,427769.875949573,54.6,AVG
370580:9063,11:11,07/12/23 18:21:09,STABLE BEAMS,6800,445158.390290970,433335.119796856,55.4,AVG
370580:9063,12:12,07/12/23 18:21:33,STABLE BEAMS,6800,444911.897451068,426661.870667788,55.4,AVG
370580:9063,13:13,07/12/23 18:21:56,STABLE BEAMS,6800,444992.391902229,433282.534854309,55.4,AVG
370580:9063,14:14,07/12/23 18:22:19,STABLE BEAMS,6800,445458.379037728,427542.081253159,55.4,AVG
370580:9063,15:15,07/12/23 18:22:43,STABLE BEAMS,6800,444894.687102891,427146.312179048,55.4,AVG
370580:9063,16:16,07/12/23 18:23:06,STABLE BEAMS,6800,444563.191507159,432928.489811966,55.3,AVG
370580:9063,17:17,07/12/23 18:23:29,STABLE BEAMS,6800,445056.041984443,425731.135809847,55.4,AVG
370580:9063,18:18,07/12/23 18:23:53,STABLE BEAMS,6800,446993.841405569,426007.678122855,55.6,AVG
370580:9063,19:19,07/12/23 18:24:16,STABLE BEAMS,6800,456409.027769318,435484.552060526,56.8,AVG
370580:9063,20:20,07/12/23 18:24:39,STABLE BEAMS,6800,461345.038613013,440748.538444321,57.4,AVG
370580:9063,21:21,07/12/23 18:25:03,STABLE BEAMS,6800,469483.507594295,449044.615814173,58.4,AVG
370580:9063,22:22,07/12/23 18:25:26,STABLE BEAMS,6800,469287.277456196,449169.830462927,58.4,AVG
370580:9063,23:23,07/12/23 18:25:49,STABLE BEAMS,6800,468835.039018184,206665.285082069,58.4,AVG
370580:9063,24:24,07/12/23 18:26:12,STABLE BEAMS,6800,468067.331145043,416622.805771496,58.3,AVG
370580:9063,25:25,07/12/23 18:26:36,STABLE BEAMS,6800,467177.561039527,452123.073172985,58.1,AVG
370580:9063,26:26,07/12/23 18:26:59,STABLE BEAMS,6800,466620.195650126,453340.154598273,58.1,AVG
370580:9063,27:27,07/12/23 18:27:22,STABLE BEAMS,6800,467059.913868706,452304.109766486,58.1,AVG
370580:9063,28:28,07/12/23 18:27:46,STABLE BEAMS,6800,478649.196358722,463647.910051521,59.6,AVG
370580:9063,29:29,07/12/23 18:28:09,STABLE BEAMS,6800,486907.631933342,357934.855742338,60.6,AVG
370580:9063,30:30,07/12/23 18:28:32,STABLE BEAMS,6800,486182.811231509,464017.083826712,60.5,AVG
370580:9063,31:31,07/12/23 18:28:56,STABLE BEAMS,6800,485611.743766178,469070.417758447,60.4,AVG
370580:9063,32:32,07/12/23 18:29:19,STABLE BEAMS,6800,485205.397258896,460552.328881394,60.4,AVG
370580:9063,33:33,07/12/23 18:29:42,STABLE BEAMS,6800,484758.986515648,467892.217768926,60.3,AVG
370580:9063,34:34,07/12/23 18:30:06,STABLE BEAMS,6800,485563.164102624,469778.527068320,60.4,AVG
370580:9063,35:35,07/12/23 18:30:29,STABLE BEAMS,6800,501202.920568296,479282.963303170,62.4,AVG
370580:9063,36:36,07/12/23 18:30:52,STABLE BEAMS,6800,511521.217796415,473633.645765958,63.7,AVG
370580:9063,37:37,07/12/23 18:31:16,STABLE BEAMS,6800,501073.391893390,481219.079182937,62.4,AVG
370580:9063,38:38,07/12/23 18:31:39,STABLE BEAMS,6800,500071.711399779,480830.107610840,62.2,AVG
370580:9063,39:39,07/12/23 18:32:02,STABLE BEAMS,6800,499745.724141138,480708.505977139,62.2,AVG
370580:9063,40:40,07/12/23 18:32:25,STABLE BEAMS,6800,498962.808315741,469726.137498285,62.1,AVG
370580:9063,41:41,07/12/23 18:32:49,STABLE BEAMS,6800,498397.204897021,478194.466614084,62.0,AVG
370580:9063,42:42,07/12/23 18:33:12,STABLE BEAMS,6800,497522.094940454,478348.706308623,61.9,AVG
370580:9063,43:43,07/12/23 18:33:35,STABLE BEAMS,6800,497018.316369948,478628.168137020,61.9,AVG
370580:9063,44:44,07/12/23 18:33:59,STABLE BEAMS,6800,496254.070147497,476873.704420001,61.8,AVG
370580:9063,45:45,07/12/23 18:34:22,STABLE BEAMS,6800,495583.293155829,477248.326514132,61.7,AVG
370580:9063,46:46,07/12/23 18:34:45,STABLE BEAMS,6800,494799.740946163,476244.665109807,61.6,AVG
370580:9063,47:47,07/12/23 18:35:09,STABLE BEAMS,6800,494578.335166682,475990.834795883,61.6,AVG
370580:9063,48:48,07/12/23 18:35:32,STABLE BEAMS,6800,494672.760139407,475430.154199210,61.6,AVG
370580:9063,49:49,07/12/23 18:35:55,STABLE BEAMS,6800,494520.876427386,476142.709433921,61.5,AVG
370580:9063,50:50,07/12/23 18:36:19,STABLE BEAMS,6800,494552.884458108,217603.798333154,61.6,AVG
370580:9063,51:51,07/12/23 18:36:42,STABLE BEAMS,6800,494189.744479807,474911.137711366,61.5,AVG
370580:9063,52:52,07/12/23 18:37:05,STABLE BEAMS,6800,493889.301172857,475443.036725969,61.5,AVG
370580:9063,53:53,07/12/23 18:37:29,STABLE BEAMS,6800,493418.532996574,475356.802136451,61.4,AVG
370580:9063,54:54,07/12/23 18:37:52,STABLE BEAMS,6800,492946.671544753,474344.884354703,61.4,AVG
370580:9063,55:55,07/12/23 18:38:15,STABLE BEAMS,6800,492566.959933620,473714.209224353,61.3,AVG
370580:9063,56:56,07/12/23 18:38:38,STABLE BEAMS,6800,493044.238810495,474078.364255391,61.4,AVG
370580:9063,57:57,07/12/23 18:39:02,STABLE BEAMS,6800,492476.448840699,474109.784294237,61.3,AVG
370580:9063,58:58,07/12/23 18:39:25,STABLE BEAMS,6800,491797.475779115,472959.463187289,61.2,AVG
370580:9063,59:59,07/12/23 18:39:48,STABLE BEAMS,6800,501719.855742502,481162.095476136,62.4,AVG
370580:9063,60:60,07/12/23 18:40:12,STABLE BEAMS,6800,501229.191816293,480483.062596644,62.4,AVG
370580:9063,61:61,07/12/23 18:40:35,STABLE BEAMS,6800,499118.699150682,478616.971587021,62.1,AVG
370580:9063,62:62,07/12/23 18:40:58,STABLE BEAMS,6800,501542.201964233,474012.350934774,62.4,AVG
370580:9063,63:63,07/12/23 18:41:22,STABLE BEAMS,6800,501407.983160580,480537.497607420,62.4,AVG
370580:9063,64:64,07/12/23 18:41:45,STABLE BEAMS,6800,501531.865964799,481390.319897230,62.4,AVG
370580:9063,65:65,07/12/23 18:42:08,STABLE BEAMS,6800,501093.105819238,479976.831630364,62.4,AVG
370580:9063,66:66,07/12/23 18:42:32,STABLE BEAMS,6800,500427.154158835,480264.570398777,62.3,AVG
370580:9063,67:67,07/12/23 18:42:55,STABLE BEAMS,6800,500075.215009871,479812.611914545,62.2,AVG
370580:9063,68:68,07/12/23 18:43:18,STABLE BEAMS,6800,499380.763590993,479575.620487476,62.2,AVG
370580:9063,69:69,07/12/23 18:43:41,STABLE BEAMS,6800,498775.867523096,479015.207091616,62.1,AVG
370580:9063,70:70,07/12/23 18:44:05,STABLE BEAMS,6800,498253.424011799,478620.442304237,62.0,AVG
370580:9063,71:71,07/12/23 18:44:28,STABLE BEAMS,6800,497727.838207486,478154.138989804,61.9,AVG
370580:9063,72:72,07/12/23 18:44:51,STABLE BEAMS,6800,497289.670155713,472475.399577250,61.9,AVG
370580:9063,73:73,07/12/23 18:45:15,STABLE BEAMS,6800,496724.747411742,476676.903325646,61.8,AVG
370580:9063,74:74,07/12/23 18:45:38,STABLE BEAMS,6800,496314.941584847,477812.547626650,61.8,AVG
370580:9063,75:75,07/12/23 18:46:01,STABLE BEAMS,6800,495945.612594707,464619.543432775,61.7,AVG
370580:9063,76:76,07/12/23 18:46:25,STABLE BEAMS,6800,495660.419199416,464541.303195342,61.7,AVG
370580:9063,77:77,07/12/23 18:46:48,STABLE BEAMS,6800,495266.229263411,461287.376048205,61.6,AVG
370580:9063,78:78,07/12/23 18:47:11,STABLE BEAMS,6800,494612.480795845,469980.876394103,61.6,AVG
370580:9063,79:79,07/12/23 18:47:35,STABLE BEAMS,6800,494064.677488012,468908.469356628,61.5,AVG
370580:9063,80:80,07/12/23 18:47:58,STABLE BEAMS,6800,493546.833193424,470313.859006246,61.4,AVG
370580:9063,81:81,07/12/23 18:48:21,STABLE BEAMS,6800,493755.173281243,467511.419004984,61.5,AVG
370580:9063,82:82,07/12/23 18:48:45,STABLE BEAMS,6800,506118.944750028,472582.970477031,63.0,AVG
370580:9063,83:83,07/12/23 18:49:08,STABLE BEAMS,6800,515565.728874789,464963.106224316,64.2,AVG
370580:9063,84:84,07/12/23 18:49:31,STABLE BEAMS,6800,503744.797848975,481910.211963686,62.7,AVG
370580:9063,85:85,07/12/23 18:49:54,STABLE BEAMS,6800,502845.829310043,480883.012211143,62.6,AVG
370580:9063,86:86,07/12/23 18:50:18,STABLE BEAMS,6800,502281.727105494,472797.492725217,62.5,AVG
370580:9063,87:87,07/12/23 18:50:41,STABLE BEAMS,6800,501463.618996955,481018.546631164,62.4,AVG
