#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
379729:9543,58:58,04/19/24 17:39:09,STABLE BEAMS,6800,210447.687383957,207931.762226710,32.6,HFET
379729:9543,59:59,04/19/24 17:39:32,STABLE BEAMS,6800,210317.247024482,208069.031712018,32.6,HFET
379729:9543,60:60,04/19/24 17:39:55,STABLE BEAMS,6800,210194.842822978,207939.866219049,32.6,HFET
379729:9543,61:61,04/19/24 17:40:19,STABLE BEAMS,6800,210096.363872668,207874.532399264,32.6,HFET
379729:9543,62:62,04/19/24 17:40:42,STABLE BEAMS,6800,209972.661960094,207738.036831821,32.5,HFET
379729:9543,63:63,04/19/24 17:41:05,STABLE BEAMS,6800,46903.418766582,46240.219642970,32.5,HFET
379729:9543,64:64,04/19/24 17:41:29,STABLE BEAMS,6800,11687.423364098,11665.852641455,0.6,HFET
379729:9543,65:65,04/19/24 17:41:52,STABLE BEAMS,6800,37826.744309953,37709.390854948,3.4,HFET
379729:9543,66:66,04/19/24 17:42:15,STABLE BEAMS,6800,102062.410311008,101502.689833598,7.9,HFET
379729:9543,67:67,04/19/24 17:42:39,STABLE BEAMS,6800,172960.221206431,171430.918012633,22.6,HFET
379729:9543,68:68,04/19/24 17:43:02,STABLE BEAMS,6800,203765.210828095,201664.600067941,29.7,HFET
379729:9543,69:69,04/19/24 17:43:25,STABLE BEAMS,6800,162170.767910665,160722.472005167,29.2,HFET
379729:9543,70:70,04/19/24 17:43:48,STABLE BEAMS,6800,85649.060932913,85079.562982336,21.8,HFET
379729:9543,71:71,04/19/24 17:44:12,STABLE BEAMS,6800,33511.222580482,33371.184240838,7.2,HFET
379729:9543,72:72,04/19/24 17:44:35,STABLE BEAMS,6800,9765.900344788,9721.935119880,3.3,HFET
379729:9543,73:73,04/19/24 17:44:58,STABLE BEAMS,6800,69011.840194238,68476.238680595,0.4,HFET
379729:9543,74:74,04/19/24 17:45:22,STABLE BEAMS,6800,65260.329990385,64460.672363468,32.4,HFET
379729:9543,75:75,04/19/24 17:45:45,STABLE BEAMS,6800,26297.925085546,26227.944261955,2.3,HFET
379729:9543,76:76,04/19/24 17:46:08,STABLE BEAMS,6800,56368.941027980,56147.454593204,6.0,HFET
379729:9543,77:77,04/19/24 17:46:32,STABLE BEAMS,6800,118730.220619500,117986.506531242,12.9,HFET
379729:9543,78:78,04/19/24 17:46:55,STABLE BEAMS,6800,177597.950817934,175973.765527034,23.7,HFET
379729:9543,79:79,04/19/24 17:47:18,STABLE BEAMS,6800,204922.736700628,202803.732337152,31.8,HFET
379729:9543,80:80,04/19/24 17:47:42,STABLE BEAMS,6800,174384.034033794,172503.270727542,30.7,HFET
379729:9543,81:81,04/19/24 17:48:05,STABLE BEAMS,6800,103318.255688123,102652.236659569,18.4,HFET
379729:9543,82:82,04/19/24 17:48:28,STABLE BEAMS,6800,53910.496055946,53642.575714829,12.1,HFET
379729:9543,83:83,04/19/24 17:48:52,STABLE BEAMS,6800,21654.631004596,21579.659203345,4.1,HFET
379729:9543,84:84,04/19/24 17:49:15,STABLE BEAMS,6800,135468.133900066,134332.689629209,2.3,HFET
379729:9543,85:85,04/19/24 17:49:38,STABLE BEAMS,6800,208900.001776010,206699.864945351,32.4,HFET
379729:9543,86:86,04/19/24 17:50:01,STABLE BEAMS,6800,208892.330198622,206704.326628462,32.4,HFET
379729:9543,87:87,04/19/24 17:50:25,STABLE BEAMS,6800,208793.122786466,206591.278674349,32.4,HFET
379729:9543,88:88,04/19/24 17:50:48,STABLE BEAMS,6800,208220.665532488,206002.317155691,32.3,HFET
379729:9543,89:89,04/19/24 17:51:11,STABLE BEAMS,6800,207157.612186669,204990.916300321,32.1,HFET
379729:9543,90:90,04/19/24 17:51:35,STABLE BEAMS,6800,206856.415941555,204679.202697913,32.1,HFET
379729:9543,91:91,04/19/24 17:51:58,STABLE BEAMS,6800,207460.197054891,205282.642308335,32.1,HFET
379729:9543,92:92,04/19/24 17:52:21,STABLE BEAMS,6800,208061.929150747,205869.873700971,32.2,HFET
379729:9543,93:93,04/19/24 17:52:45,STABLE BEAMS,6800,208158.177259502,205943.129689019,32.3,HFET
379729:9543,94:94,04/19/24 17:53:08,STABLE BEAMS,6800,207920.721542426,205745.375025970,32.2,HFET
379729:9543,95:95,04/19/24 17:53:31,STABLE BEAMS,6800,206977.408908494,204811.600696613,32.1,HFET
379729:9543,96:96,04/19/24 17:53:55,STABLE BEAMS,6800,206621.304822636,204473.571788835,32.0,HFET
379729:9543,97:97,04/19/24 17:54:18,STABLE BEAMS,6800,206283.048168547,106769.901391670,32.0,HFET
379729:9543,98:98,04/19/24 17:54:41,STABLE BEAMS,6800,206224.702920323,204068.615303308,31.9,HFET
379729:9543,99:99,04/19/24 17:55:04,STABLE BEAMS,6800,206359.900776696,204205.657042304,32.0,HFET
379729:9543,100:100,04/19/24 17:55:28,STABLE BEAMS,6800,206257.369946769,204114.326109284,32.0,HFET
379729:9543,101:101,04/19/24 17:55:51,STABLE BEAMS,6800,205820.292839457,203685.080025087,31.9,HFET
379729:9543,102:102,04/19/24 17:56:14,STABLE BEAMS,6800,205717.101615160,203577.176526804,31.9,HFET
379729:9543,103:103,04/19/24 17:56:38,STABLE BEAMS,6800,205847.587430654,203699.785863163,31.9,HFET
379729:9543,104:104,04/19/24 17:57:01,STABLE BEAMS,6800,205988.681282374,203848.665281980,31.9,HFET
379729:9543,105:105,04/19/24 17:57:24,STABLE BEAMS,6800,206181.018054155,204038.065361815,31.9,HFET
379729:9543,106:106,04/19/24 17:57:48,STABLE BEAMS,6800,206045.819964674,203886.909412316,31.9,HFET
379729:9543,107:107,04/19/24 17:58:11,STABLE BEAMS,6800,205938.485715616,203778.755789373,31.9,HFET
379729:9543,108:108,04/19/24 17:58:34,STABLE BEAMS,6800,205828.123629465,203696.280155100,31.9,HFET
379729:9543,109:109,04/19/24 17:58:58,STABLE BEAMS,6800,205722.474050409,203593.180075950,31.9,HFET
379729:9543,110:110,04/19/24 17:59:21,STABLE BEAMS,6800,205594.173620451,203443.777097035,31.9,HFET
379729:9543,111:111,04/19/24 17:59:44,STABLE BEAMS,6800,205476.231102059,203321.190605240,31.8,HFET
379729:9543,112:112,04/19/24 18:00:08,STABLE BEAMS,6800,205362.499909012,203220.435124246,31.8,HFET
379729:9543,113:113,04/19/24 18:00:31,STABLE BEAMS,6800,205270.986918807,203109.618011689,31.8,HFET
379729:9543,114:114,04/19/24 18:00:54,STABLE BEAMS,6800,205411.011038875,203254.308716617,31.8,HFET
379729:9543,115:115,04/19/24 18:01:17,STABLE BEAMS,6800,210189.174340835,207902.965255802,32.1,HFET
379729:9543,116:116,04/19/24 18:01:41,STABLE BEAMS,6800,215444.002280641,213095.509591262,32.9,HFET
379729:9543,117:117,04/19/24 18:02:04,STABLE BEAMS,6800,222952.986984276,220410.495697677,34.2,HFET
379729:9543,118:118,04/19/24 18:02:27,STABLE BEAMS,6800,232052.340497849,229291.174056429,35.1,HFET
379729:9543,119:119,04/19/24 18:02:51,STABLE BEAMS,6800,240438.757844077,237486.757709909,36.4,HFET
379729:9543,120:120,04/19/24 18:03:14,STABLE BEAMS,6800,249371.520642014,246174.074321925,38.1,HFET
379729:9543,121:121,04/19/24 18:03:37,STABLE BEAMS,6800,259888.915234056,256418.616245108,39.7,HFET
379729:9543,122:122,04/19/24 18:04:01,STABLE BEAMS,6800,270450.679562955,266624.387680565,41.2,HFET
379729:9543,123:123,04/19/24 18:04:24,STABLE BEAMS,6800,282521.429876842,278300.220762141,42.6,HFET
379729:9543,124:124,04/19/24 18:04:47,STABLE BEAMS,6800,295665.203323643,290993.326917439,44.5,HFET
379729:9543,125:125,04/19/24 18:05:11,STABLE BEAMS,6800,306730.562067893,301614.573361257,46.7,HFET
379729:9543,126:126,04/19/24 18:05:34,STABLE BEAMS,6800,316079.641393315,310601.424159839,48.8,HFET
379729:9543,127:127,04/19/24 18:05:57,STABLE BEAMS,6800,301989.571532864,297045.798199742,48.6,HFET
379729:9543,128:128,04/19/24 18:06:21,STABLE BEAMS,6800,295781.780529705,291044.454449144,45.3,HFET
379729:9543,129:129,04/19/24 18:06:44,STABLE BEAMS,6800,308278.838370981,303144.389858410,46.8,HFET
379729:9543,130:130,04/19/24 18:07:07,STABLE BEAMS,6800,310256.452602735,304981.274585921,48.0,HFET
