#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
381114:9664,1:1,05/23/24 20:11:09,STABLE BEAMS,6800,484730.258311539,428287.850332961,58.6,HFOC
381114:9664,2:2,05/23/24 20:11:33,STABLE BEAMS,6800,487218.000970014,460321.779331229,63.6,HFOC
381114:9664,3:3,05/23/24 20:11:56,STABLE BEAMS,6800,486146.479051271,454311.330390331,63.5,HFOC
381114:9664,4:4,05/23/24 20:12:20,STABLE BEAMS,6800,486194.056351326,453729.472365375,63.3,HFOC
381114:9664,5:5,05/23/24 20:12:43,STABLE BEAMS,6800,486523.139281425,361266.423386827,63.5,HFOC
381114:9664,6:6,05/23/24 20:13:06,STABLE BEAMS,6800,486574.131610611,459821.324877817,63.4,HFOC
381114:9664,7:7,05/23/24 20:13:29,STABLE BEAMS,6800,487770.585318631,461628.821706171,63.5,HFOC
381114:9664,8:8,05/23/24 20:13:53,STABLE BEAMS,6800,487247.869071219,467612.952777514,63.7,HFOC
381114:9664,9:9,05/23/24 20:14:16,STABLE BEAMS,6800,487002.012615586,468860.216990643,63.4,HFOC
381114:9664,10:10,05/23/24 20:14:39,STABLE BEAMS,6800,488309.966441989,396045.492665913,63.6,HFOC
381114:9664,11:11,05/23/24 20:15:03,STABLE BEAMS,6800,488474.915845672,421426.422753975,63.7,HFOC
381114:9664,12:12,05/23/24 20:15:26,STABLE BEAMS,6800,488752.505264835,367633.294139501,63.7,HFOC
381114:9664,13:13,05/23/24 20:15:49,STABLE BEAMS,6800,488157.989486851,468587.725638860,63.7,HFOC
381114:9664,14:14,05/23/24 20:16:13,STABLE BEAMS,6800,487724.374030229,461561.255413075,63.6,HFOC
381114:9664,15:15,05/23/24 20:16:36,STABLE BEAMS,6800,487422.061198798,462183.681186824,63.6,HFOC
381114:9664,16:16,05/23/24 20:16:59,STABLE BEAMS,6800,487112.556992029,369006.856153560,63.5,HFOC
381114:9664,17:17,05/23/24 20:17:23,STABLE BEAMS,6800,487805.504865657,468050.803802692,63.6,HFOC
381114:9664,18:18,05/23/24 20:17:46,STABLE BEAMS,6800,487444.325323875,467559.911430849,63.6,HFOC
381114:9664,19:19,05/23/24 20:18:09,STABLE BEAMS,6800,485722.059696986,467813.052504937,63.4,HFOC
381114:9664,20:20,05/23/24 20:18:33,STABLE BEAMS,6800,485020.095214018,460280.575198168,63.3,HFOC
381114:9664,21:21,05/23/24 20:18:56,STABLE BEAMS,6800,484667.519680786,466991.711191342,63.3,HFOC
381114:9664,22:22,05/23/24 20:19:19,STABLE BEAMS,6800,483956.587541115,466363.413432349,63.1,HFOC
381114:9664,23:23,05/23/24 20:19:42,STABLE BEAMS,6800,483863.661451483,458552.936436707,63.1,HFOC
381114:9664,24:24,05/23/24 20:20:06,STABLE BEAMS,6800,482642.258216640,465347.709174058,63.0,HFOC
381114:9664,25:25,05/23/24 20:20:29,STABLE BEAMS,6800,489803.175691712,470970.616413138,63.9,HFOC
381114:9664,26:26,05/23/24 20:20:52,STABLE BEAMS,6800,488929.068098644,470083.168061216,63.9,HFOC
381114:9664,27:27,05/23/24 20:21:16,STABLE BEAMS,6800,485982.529680010,461120.446250036,63.6,HFOC
381114:9664,28:28,05/23/24 20:21:39,STABLE BEAMS,6800,485927.213201308,468237.700304857,63.3,HFOC
381114:9664,29:29,05/23/24 20:22:02,STABLE BEAMS,6800,486264.900139957,467851.433702654,63.4,HFOC
381114:9664,30:30,05/23/24 20:22:26,STABLE BEAMS,6800,486022.321179859,468038.146049664,63.4,HFOC
381114:9664,31:31,05/23/24 20:22:49,STABLE BEAMS,6800,486381.817683394,468075.116945248,63.4,HFOC
381114:9664,32:32,05/23/24 20:23:12,STABLE BEAMS,6800,485862.833491709,285392.774715474,63.4,HFOC
381114:9664,33:33,05/23/24 20:23:36,STABLE BEAMS,6800,484991.229476312,467596.243611086,63.3,HFOC
381114:9664,34:34,05/23/24 20:23:59,STABLE BEAMS,6800,484606.100440127,466754.141717664,63.2,HFOC
381114:9664,35:35,05/23/24 20:24:22,STABLE BEAMS,6800,483949.393834698,466239.665830649,63.2,HFOC
381114:9664,36:36,05/23/24 20:24:46,STABLE BEAMS,6800,484371.764171504,466375.479091589,63.1,HFOC
381114:9664,37:37,05/23/24 20:25:09,STABLE BEAMS,6800,483694.203743131,466442.087311665,63.2,HFOC
381114:9664,38:38,05/23/24 20:25:32,STABLE BEAMS,6800,487444.644681548,468420.179414390,63.0,HFOC
381114:9664,39:39,05/23/24 20:25:55,STABLE BEAMS,6800,493163.478107525,392464.010585177,64.3,HFOC
381114:9664,40:40,05/23/24 20:26:19,STABLE BEAMS,6800,492445.897733667,451984.714167774,64.3,HFOC
381114:9664,41:41,05/23/24 20:26:42,STABLE BEAMS,6800,492344.777905197,466453.971146829,64.2,HFOC
381114:9664,42:42,05/23/24 20:27:05,STABLE BEAMS,6800,491575.340372250,355308.335117846,64.2,HFOC
381114:9664,43:43,05/23/24 20:27:29,STABLE BEAMS,6800,490687.027190425,471499.388800949,64.1,HFOC
381114:9664,44:44,05/23/24 20:27:52,STABLE BEAMS,6800,490752.817202157,471533.716254187,64.0,HFOC
381114:9664,45:45,05/23/24 20:28:15,STABLE BEAMS,6800,490363.361685379,470630.971369049,64.0,HFOC
381114:9664,46:46,05/23/24 20:28:39,STABLE BEAMS,6800,489473.910937536,470563.405075953,63.9,HFOC
381114:9664,47:47,05/23/24 20:29:02,STABLE BEAMS,6800,489555.135016081,470397.863578482,63.9,HFOC
381114:9664,48:48,05/23/24 20:29:25,STABLE BEAMS,6800,488980.377454426,469896.681828763,63.8,HFOC
381114:9664,49:49,05/23/24 20:29:49,STABLE BEAMS,6800,487993.221907245,468751.129537892,63.7,HFOC
381114:9664,50:50,05/23/24 20:30:12,STABLE BEAMS,6800,488268.032681544,469858.344921526,63.6,HFOC
381114:9664,51:51,05/23/24 20:30:35,STABLE BEAMS,6800,488039.843465359,462146.530798241,63.7,HFOC
381114:9664,52:52,05/23/24 20:30:58,STABLE BEAMS,6800,487810.150703923,469232.779185839,63.6,HFOC
381114:9664,53:53,05/23/24 20:31:22,STABLE BEAMS,6800,487803.001287987,469170.222379163,63.6,HFOC
381114:9664,54:54,05/23/24 20:31:45,STABLE BEAMS,6800,487094.526104429,461201.169146831,63.6,HFOC
381114:9664,55:55,05/23/24 20:32:08,STABLE BEAMS,6800,487264.121346378,469084.217259833,63.5,HFOC
381114:9664,56:56,05/23/24 20:32:32,STABLE BEAMS,6800,487808.647158674,469734.734853422,63.7,HFOC
381114:9664,57:57,05/23/24 20:32:55,STABLE BEAMS,6800,487539.025363793,469393.404440007,63.6,HFOC
381114:9664,58:58,05/23/24 20:33:18,STABLE BEAMS,6800,486976.198258859,354539.806705281,63.5,HFOC
381114:9664,59:59,05/23/24 20:33:42,STABLE BEAMS,6800,486282.245690653,467710.384840738,63.5,HFOC
381114:9664,60:60,05/23/24 20:34:05,STABLE BEAMS,6800,485317.170113395,467411.487038439,63.3,HFOC
381114:9664,61:61,05/23/24 20:34:28,STABLE BEAMS,6800,484682.452565849,466660.989513475,63.2,HFOC
381114:9664,62:62,05/23/24 20:34:52,STABLE BEAMS,6800,484235.267904738,466629.575907618,63.2,HFOC
381114:9664,63:63,05/23/24 20:35:15,STABLE BEAMS,6800,483304.111842085,465585.961653562,63.1,HFOC
381114:9664,64:64,05/23/24 20:35:38,STABLE BEAMS,6800,488864.916834680,470007.179583647,63.0,HFOC
381114:9664,65:65,05/23/24 20:36:02,STABLE BEAMS,6800,491514.378022861,472576.873616974,64.2,HFOC
381114:9664,66:66,05/23/24 20:36:25,STABLE BEAMS,6800,491039.740257254,471872.769204489,64.0,HFOC
381114:9664,67:67,05/23/24 20:36:48,STABLE BEAMS,6800,490361.224086940,464284.474237269,64.0,HFOC
381114:9664,68:68,05/23/24 20:37:11,STABLE BEAMS,6800,490232.466998820,471558.894226647,63.9,HFOC
381114:9664,69:69,05/23/24 20:37:35,STABLE BEAMS,6800,491461.700324349,472215.603163154,64.0,HFOC
381114:9664,70:70,05/23/24 20:37:58,STABLE BEAMS,6800,491537.688801918,472582.018305912,64.1,HFOC
381114:9664,71:71,05/23/24 20:38:21,STABLE BEAMS,6800,490809.499692511,471990.325463272,64.0,HFOC
381114:9664,72:72,05/23/24 20:38:45,STABLE BEAMS,6800,490830.397805936,471318.319993548,64.0,HFOC
381114:9664,73:73,05/23/24 20:39:08,STABLE BEAMS,6800,491032.091990646,472537.126407604,64.0,HFOC
381114:9664,74:74,05/23/24 20:39:31,STABLE BEAMS,6800,491374.375814925,472547.553319077,64.1,HFOC
381114:9664,75:75,05/23/24 20:39:55,STABLE BEAMS,6800,491311.637184171,472879.641008596,64.1,HFOC
381114:9664,76:76,05/23/24 20:40:18,STABLE BEAMS,6800,490533.777466751,471689.425265052,64.0,HFOC
381114:9664,77:77,05/23/24 20:40:41,STABLE BEAMS,6800,489899.379276879,464676.978803948,63.9,HFOC
381114:9664,78:78,05/23/24 20:41:05,STABLE BEAMS,6800,488759.153499022,470538.045279417,63.8,HFOC
381114:9664,79:79,05/23/24 20:41:28,STABLE BEAMS,6800,488367.285316612,354296.980650926,63.7,HFOC
381114:9664,80:80,05/23/24 20:41:51,STABLE BEAMS,6800,488650.066046271,462640.926780177,63.7,HFOC
