#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
383811:9945,30:30,07/29/24 16:52:12,STABLE BEAMS,6800,62926.316696435,21711.272607453,8.2,HFET
383811:9945,31:31,07/29/24 16:52:36,STABLE BEAMS,6800,241114.698551897,236056.205921673,31.4,HFET
383811:9945,32:32,07/29/24 16:52:59,STABLE BEAMS,6800,303161.135864776,296171.803231183,39.5,HFET
383811:9945,33:33,07/29/24 16:53:22,STABLE BEAMS,6800,131202.042492525,129852.349382249,17.1,HFET
383811:9945,34:34,07/29/24 16:53:46,STABLE BEAMS,6800,15733.905301545,15676.071179488,2.1,HFET
383811:9945,35:35,07/29/24 16:54:09,STABLE BEAMS,6800,109820.628071594,108751.168907416,14.3,HFET
383811:9945,36:36,07/29/24 16:54:32,STABLE BEAMS,6800,96920.068938532,70672.719687106,12.6,HFET
383811:9945,37:37,07/29/24 16:54:56,STABLE BEAMS,6800,42605.007964193,42383.931106595,5.6,HFET
383811:9945,38:38,07/29/24 16:55:19,STABLE BEAMS,6800,171912.091523609,169036.145796206,22.4,HFET
383811:9945,39:39,07/29/24 16:55:42,STABLE BEAMS,6800,317928.314882774,166086.866987290,41.5,HFET
383811:9945,40:40,07/29/24 16:56:06,STABLE BEAMS,6800,220155.620291113,215905.508225869,28.7,HFET
383811:9945,41:41,07/29/24 16:56:29,STABLE BEAMS,6800,69900.000985083,49951.030003947,9.1,HFET
383811:9945,42:42,07/29/24 16:56:52,STABLE BEAMS,6800,37604.207557175,37384.405341798,4.9,HFET
383811:9945,43:43,07/29/24 16:57:16,STABLE BEAMS,6800,340148.843989224,329590.770918143,44.4,HFET
383811:9945,44:44,07/29/24 16:57:39,STABLE BEAMS,6800,340276.857942698,332026.406462647,44.4,HFET
383811:9945,45:45,07/29/24 16:58:02,STABLE BEAMS,6800,340170.095089372,332473.728556909,44.4,HFET
383811:9945,46:46,07/29/24 16:58:25,STABLE BEAMS,6800,339919.272155056,309113.722396859,44.3,HFET
383811:9945,47:47,07/29/24 16:58:49,STABLE BEAMS,6800,339591.899895029,267824.968042684,44.3,HFET
383811:9945,48:48,07/29/24 16:59:12,STABLE BEAMS,6800,339334.737057184,330521.761738338,44.3,HFET
383811:9945,49:49,07/29/24 16:59:35,STABLE BEAMS,6800,338977.034249830,331267.720067642,44.2,HFET
383811:9945,50:50,07/29/24 16:59:59,STABLE BEAMS,6800,338814.346394134,331306.212515903,44.2,HFET
383811:9945,51:51,07/29/24 17:00:22,STABLE BEAMS,6800,344485.032629873,336539.043619107,44.9,HFET
383811:9945,52:52,07/29/24 17:00:45,STABLE BEAMS,6800,352368.897434175,250826.202565089,46.0,HFET
383811:9945,53:53,07/29/24 17:01:09,STABLE BEAMS,6800,365923.369926739,354830.592259569,47.7,HFET
383811:9945,54:54,07/29/24 17:01:32,STABLE BEAMS,6800,379321.377447424,368556.286560363,49.5,HFET
383811:9945,55:55,07/29/24 17:01:55,STABLE BEAMS,6800,391940.382346408,374585.711928503,51.1,HFET
383811:9945,56:56,07/29/24 17:02:19,STABLE BEAMS,6800,406250.140931542,393540.274219259,53.0,HFET
383811:9945,57:57,07/29/24 17:02:42,STABLE BEAMS,6800,421901.362189095,344772.570885867,55.0,HFET
383811:9945,58:58,07/29/24 17:03:05,STABLE BEAMS,6800,431310.317637771,367547.639641372,56.3,HFET
383811:9945,59:59,07/29/24 17:03:29,STABLE BEAMS,6800,426449.041515528,411422.808166191,55.6,HFET
383811:9945,60:60,07/29/24 17:03:52,STABLE BEAMS,6800,422647.802873910,408411.134158170,55.1,HFET
383811:9945,61:61,07/29/24 17:04:15,STABLE BEAMS,6800,424447.784040864,410921.273527854,55.4,HFET
383811:9945,62:62,07/29/24 17:04:38,STABLE BEAMS,6800,435275.066479083,418819.864576913,56.8,HFET
383811:9945,63:63,07/29/24 17:05:02,STABLE BEAMS,6800,449121.375711715,310349.489318509,58.6,HFET
383811:9945,64:64,07/29/24 17:05:25,STABLE BEAMS,6800,446733.376908224,427867.883493915,58.3,HFET
383811:9945,65:65,07/29/24 17:05:48,STABLE BEAMS,6800,451876.431685909,432472.013468578,58.9,HFET
383811:9945,66:66,07/29/24 17:06:12,STABLE BEAMS,6800,461086.458434643,438532.969698951,60.1,HFET
383811:9945,67:67,07/29/24 17:06:35,STABLE BEAMS,6800,492745.313334259,453601.729562972,64.3,HFET
383811:9945,68:68,07/29/24 17:06:58,STABLE BEAMS,6800,493256.155669781,373415.335579431,64.3,HFET
383811:9945,69:69,07/29/24 17:07:22,STABLE BEAMS,6800,492363.502863398,276712.253612518,64.2,HFET
383812:9945,1:1,07/29/24 17:11:17,STABLE BEAMS,6800,487293.280031831,401513.601559719,63.6,HFET
383812:9945,2:2,07/29/24 17:11:40,STABLE BEAMS,6800,485479.953808775,435614.111441765,63.3,HFET
383812:9945,3:3,07/29/24 17:12:04,STABLE BEAMS,6800,493819.400393767,454525.681576633,64.4,HFET
383812:9945,4:4,07/29/24 17:12:27,STABLE BEAMS,6800,494437.161876064,455482.741103775,64.5,HFET
383812:9945,5:5,07/29/24 17:12:50,STABLE BEAMS,6800,495892.589724579,307905.874392559,64.7,HFET
383812:9945,6:6,07/29/24 17:13:13,STABLE BEAMS,6800,496439.984689741,415738.212281632,64.7,HFET
