#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
385836:10122,33:33,09/16/24 18:09:49,STABLE BEAMS,6800,9399.345548392,4655.017912196,1.2,HFET
385836:10122,34:34,09/16/24 18:10:13,STABLE BEAMS,6800,112833.223949849,111626.849008773,14.7,HFET
385836:10122,35:35,09/16/24 18:10:36,STABLE BEAMS,6800,324543.648012237,316813.370835896,42.3,HFET
385836:10122,36:36,09/16/24 18:10:59,STABLE BEAMS,6800,295191.676504928,289595.817454579,38.5,HFET
385836:10122,37:37,09/16/24 18:11:23,STABLE BEAMS,6800,69219.367362296,68832.100796379,9.0,HFET
385836:10122,38:38,09/16/24 18:11:46,STABLE BEAMS,6800,6781.965583264,6747.254202228,0.9,HFET
385836:10122,39:39,09/16/24 18:12:09,STABLE BEAMS,6800,222888.076748365,159972.054461056,29.1,HFET
385836:10122,40:40,09/16/24 18:12:33,STABLE BEAMS,6800,12261.023630697,12207.542762286,1.6,HFET
385836:10122,41:41,09/16/24 18:12:56,STABLE BEAMS,6800,60615.512766665,60311.811549824,7.9,HFET
385836:10122,42:42,09/16/24 18:13:19,STABLE BEAMS,6800,227216.311312670,220611.981454909,29.6,HFET
385836:10122,43:43,09/16/24 18:13:43,STABLE BEAMS,6800,357343.163540333,348173.327019250,46.6,HFET
385836:10122,44:44,09/16/24 18:14:06,STABLE BEAMS,6800,203779.357919324,148822.465813098,26.6,HFET
385836:10122,45:45,09/16/24 18:14:29,STABLE BEAMS,6800,51723.196307432,51484.297484529,6.7,HFET
385836:10122,46:46,09/16/24 18:14:52,STABLE BEAMS,6800,85289.023518710,84312.869211407,11.1,HFET
385836:10122,47:47,09/16/24 18:15:16,STABLE BEAMS,6800,381924.065279352,371937.945630773,49.8,HFET
385836:10122,48:48,09/16/24 18:15:39,STABLE BEAMS,6800,383262.011252864,373834.210819891,50.0,HFET
385836:10122,49:49,09/16/24 18:16:02,STABLE BEAMS,6800,382319.941156186,372959.398757347,49.9,HFET
385836:10122,50:50,09/16/24 18:16:26,STABLE BEAMS,6800,378242.743696904,274363.229642650,49.3,HFET
385836:10122,51:51,09/16/24 18:16:49,STABLE BEAMS,6800,378350.422308954,368983.244422083,49.3,HFET
385836:10122,52:52,09/16/24 18:17:12,STABLE BEAMS,6800,380809.476753039,370448.681894167,49.7,HFET
385836:10122,53:53,09/16/24 18:17:36,STABLE BEAMS,6800,380735.757719996,371626.003391884,49.7,HFET
385836:10122,54:54,09/16/24 18:17:59,STABLE BEAMS,6800,378360.662201309,368938.077653915,49.3,HFET
385836:10122,55:55,09/16/24 18:18:22,STABLE BEAMS,6800,377797.628683286,368749.816252815,49.3,HFET
385836:10122,56:56,09/16/24 18:18:46,STABLE BEAMS,6800,375898.448136039,361402.240050420,49.0,HFET
