#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
385889:10125,1:1,09/17/24 19:03:21,STABLE BEAMS,6800,475828.773916940,431211.670066327,62.1,HFET
385889:10125,2:2,09/17/24 19:03:45,STABLE BEAMS,6800,476522.952599703,450165.107389699,62.2,HFET
385889:10125,3:3,09/17/24 19:04:08,STABLE BEAMS,6800,477243.491111423,450046.413564899,62.2,HFET
385889:10125,4:4,09/17/24 19:04:32,STABLE BEAMS,6800,476539.661766131,451135.556101530,62.2,HFET
385889:10125,5:5,09/17/24 19:04:55,STABLE BEAMS,6800,477246.041310652,324759.831900173,62.2,HFET
385889:10125,6:6,09/17/24 19:05:18,STABLE BEAMS,6800,476964.172032454,449002.437993767,62.2,HFET
385889:10125,7:7,09/17/24 19:05:41,STABLE BEAMS,6800,475447.969030270,450165.790395526,62.1,HFET
385889:10125,8:8,09/17/24 19:06:05,STABLE BEAMS,6800,475657.994487415,448569.594123931,62.0,HFET
385889:10125,9:9,09/17/24 19:06:28,STABLE BEAMS,6800,476268.536426000,451289.535452589,62.1,HFET
385889:10125,10:10,09/17/24 19:06:51,STABLE BEAMS,6800,475816.890081777,402952.357615436,62.0,HFET
385889:10125,11:11,09/17/24 19:07:15,STABLE BEAMS,6800,476026.141621057,362118.747056866,62.1,HFET
385889:10125,12:12,09/17/24 19:07:38,STABLE BEAMS,6800,474844.348061987,448340.948016475,62.0,HFET
385889:10125,13:13,09/17/24 19:08:01,STABLE BEAMS,6800,474426.984880522,449374.499007213,61.8,HFET
385889:10125,14:14,09/17/24 19:08:25,STABLE BEAMS,6800,475053.690513305,442394.058245753,61.9,HFET
385889:10125,15:15,09/17/24 19:08:48,STABLE BEAMS,6800,475169.696605281,448033.173469512,62.0,HFET
385889:10125,16:16,09/17/24 19:09:11,STABLE BEAMS,6800,475066.255023217,344568.644274563,62.0,HFET
385889:10125,17:17,09/17/24 19:09:35,STABLE BEAMS,6800,475784.336578824,450836.021914964,62.0,HFET
385889:10125,18:18,09/17/24 19:09:58,STABLE BEAMS,6800,477548.535966159,451682.084309748,62.1,HFET
385889:10125,19:19,09/17/24 19:10:21,STABLE BEAMS,6800,478348.114336426,452279.376401518,62.4,HFET
385889:10125,20:20,09/17/24 19:10:44,STABLE BEAMS,6800,478256.691792044,450829.420302335,62.4,HFET
385889:10125,21:21,09/17/24 19:11:08,STABLE BEAMS,6800,477339.603784551,450488.409246592,62.3,HFET
385889:10125,22:22,09/17/24 19:11:31,STABLE BEAMS,6800,475792.576939221,449146.673439180,62.1,HFET
385889:10125,23:23,09/17/24 19:11:54,STABLE BEAMS,6800,476057.646138952,450550.283047443,62.0,HFET
385889:10125,24:24,09/17/24 19:12:18,STABLE BEAMS,6800,474832.783584497,451009.715191871,62.0,HFET
385889:10125,25:25,09/17/24 19:12:41,STABLE BEAMS,6800,474979.932877292,450845.901023128,61.9,HFET
385889:10125,26:26,09/17/24 19:13:04,STABLE BEAMS,6800,475072.674811769,449956.858213919,61.9,HFET
385889:10125,27:27,09/17/24 19:13:28,STABLE BEAMS,6800,474846.989173254,443289.476553035,61.9,HFET
385889:10125,28:28,09/17/24 19:13:51,STABLE BEAMS,6800,474666.374926045,449968.331779370,62.0,HFET
385889:10125,29:29,09/17/24 19:14:14,STABLE BEAMS,6800,473846.355333622,447414.071812857,61.8,HFET
385889:10125,30:30,09/17/24 19:14:38,STABLE BEAMS,6800,474074.045699136,449967.376037429,61.8,HFET
385889:10125,31:31,09/17/24 19:15:01,STABLE BEAMS,6800,474040.398920646,449513.179493977,61.8,HFET
385889:10125,32:32,09/17/24 19:15:24,STABLE BEAMS,6800,474398.300966893,448272.062333285,61.9,HFET
385889:10125,33:33,09/17/24 19:15:48,STABLE BEAMS,6800,474327.186773224,450571.635721059,61.9,HFET
385889:10125,34:34,09/17/24 19:16:11,STABLE BEAMS,6800,474776.511363854,450694.835519451,61.9,HFET
385889:10125,35:35,09/17/24 19:16:34,STABLE BEAMS,6800,474851.632680442,451367.025144330,61.9,HFET
385889:10125,36:36,09/17/24 19:16:57,STABLE BEAMS,6800,474864.926817738,450368.622146254,61.9,HFET
385889:10125,37:37,09/17/24 19:17:21,STABLE BEAMS,6800,474341.026382750,450650.172066778,61.9,HFET
385889:10125,38:38,09/17/24 19:17:44,STABLE BEAMS,6800,474254.293967114,449689.285436517,61.8,HFET
385889:10125,39:39,09/17/24 19:18:07,STABLE BEAMS,6800,474968.778669513,450250.657948838,61.9,HFET
385889:10125,40:40,09/17/24 19:18:31,STABLE BEAMS,6800,473927.579412167,444935.707080797,61.9,HFET
385889:10125,41:41,09/17/24 19:18:54,STABLE BEAMS,6800,474001.882520410,450734.447526302,61.8,HFET
385889:10125,42:42,09/17/24 19:19:17,STABLE BEAMS,6800,473959.449909294,450285.759319941,61.8,HFET
385889:10125,43:43,09/17/24 19:19:41,STABLE BEAMS,6800,473459.223901516,450265.318097786,61.8,HFET
385889:10125,44:44,09/17/24 19:20:04,STABLE BEAMS,6800,473646.894321546,450322.592681929,61.7,HFET
385889:10125,45:45,09/17/24 19:20:27,STABLE BEAMS,6800,473942.785033346,448979.262417229,61.8,HFET
385889:10125,46:46,09/17/24 19:20:51,STABLE BEAMS,6800,474810.337635343,450893.935214452,61.9,HFET
385889:10125,47:47,09/17/24 19:21:14,STABLE BEAMS,6800,474992.909987993,450774.922031978,62.0,HFET
385889:10125,48:48,09/17/24 19:21:37,STABLE BEAMS,6800,473873.400499484,450697.658454795,61.9,HFET
385889:10125,49:49,09/17/24 19:22:01,STABLE BEAMS,6800,472277.386051965,447885.751440602,61.7,HFET
385889:10125,50:50,09/17/24 19:22:24,STABLE BEAMS,6800,470897.996343143,448808.394406743,61.4,HFET
385889:10125,51:51,09/17/24 19:22:47,STABLE BEAMS,6800,470513.142374151,448658.147111411,61.4,HFET
385889:10125,52:52,09/17/24 19:23:10,STABLE BEAMS,6800,469655.970062068,446325.113431380,61.3,HFET
385889:10125,53:53,09/17/24 19:23:34,STABLE BEAMS,6800,469287.687725907,440825.634436326,61.2,HFET
385889:10125,54:54,09/17/24 19:23:57,STABLE BEAMS,6800,469178.143381886,447403.146050713,61.2,HFET
385889:10125,55:55,09/17/24 19:24:20,STABLE BEAMS,6800,468085.177877489,446753.947847218,61.1,HFET
385889:10125,56:56,09/17/24 19:24:44,STABLE BEAMS,6800,472588.575628060,448791.184058566,61.0,HFET
385889:10125,57:57,09/17/24 19:25:07,STABLE BEAMS,6800,472864.934238089,448849.461006208,61.7,HFET
385889:10125,58:58,09/17/24 19:25:30,STABLE BEAMS,6800,471882.832467808,448747.385435796,61.6,HFET
385889:10125,59:59,09/17/24 19:25:54,STABLE BEAMS,6800,470721.708576527,448248.387906075,61.4,HFET
385889:10125,60:60,09/17/24 19:26:17,STABLE BEAMS,6800,470508.498866963,447633.657020493,61.3,HFET
385889:10125,61:61,09/17/24 19:26:40,STABLE BEAMS,6800,470613.350751160,448220.296086234,61.3,HFET
385889:10125,62:62,09/17/24 19:27:04,STABLE BEAMS,6800,470551.432659829,447877.737194762,61.4,HFET
385889:10125,63:63,09/17/24 19:27:27,STABLE BEAMS,6800,468757.092435175,447307.578849815,61.3,HFET
385889:10125,64:64,09/17/24 19:27:50,STABLE BEAMS,6800,471185.693316105,448591.949161046,61.0,HFET
