#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
395982:10959,33:33,08/18/25 19:26:51,STABLE BEAMS,6799,10063.373855541,1205.848029047,1.3,HFET
395982:10959,34:34,08/18/25 19:27:14,STABLE BEAMS,6799,47038.399471623,37419.399849903,5.9,HFET
395982:10959,35:35,08/18/25 19:27:37,STABLE BEAMS,6799,150703.740747607,148685.142702152,18.8,HFET
395982:10959,36:36,08/18/25 19:28:01,STABLE BEAMS,6799,306179.288347716,298695.340991127,38.2,HFET
395982:10959,37:37,08/18/25 19:28:24,STABLE BEAMS,6799,390137.380683430,378503.923325155,48.6,HFET
395982:10959,38:38,08/18/25 19:28:47,STABLE BEAMS,6799,324940.034185076,318381.576168292,40.5,HFET
395982:10959,39:39,08/18/25 19:29:11,STABLE BEAMS,6799,187218.021314367,139386.156719376,23.3,HFET
395982:10959,40:40,08/18/25 19:29:34,STABLE BEAMS,6799,59256.490948149,58927.138297326,7.4,HFET
395982:10959,41:41,08/18/25 19:29:57,STABLE BEAMS,6799,15441.997971748,15153.379561905,1.9,HFET
395982:10959,42:42,08/18/25 19:30:21,STABLE BEAMS,6799,23976.343363916,23854.196032741,3.0,HFET
395982:10959,43:43,08/18/25 19:30:44,STABLE BEAMS,6799,253437.585189691,246904.806923472,31.6,HFET
395982:10959,44:44,08/18/25 19:31:07,STABLE BEAMS,6799,5463.228760789,4410.742350988,0.7,HFET
395982:10959,45:45,08/18/25 19:31:30,STABLE BEAMS,6799,23291.572845808,18734.399695738,2.9,HFET
395982:10959,46:46,08/18/25 19:31:54,STABLE BEAMS,6799,88305.452224173,87520.325862864,11.0,HFET
395982:10959,47:47,08/18/25 19:32:17,STABLE BEAMS,6799,213233.120136569,210138.891664853,26.6,HFET
395982:10959,48:48,08/18/25 19:32:40,STABLE BEAMS,6799,365730.274637319,354948.327800037,45.6,HFET
395982:10959,49:49,08/18/25 19:33:04,STABLE BEAMS,6799,379647.547748619,267019.086434302,47.3,HFET
395982:10959,50:50,08/18/25 19:33:27,STABLE BEAMS,6799,242816.733066060,177833.468456893,30.3,HFET
395982:10959,51:51,08/18/25 19:33:50,STABLE BEAMS,6799,110507.506847649,109675.307611103,13.8,HFET
395982:10959,52:52,08/18/25 19:34:14,STABLE BEAMS,6799,27620.044838116,27509.892199627,3.4,HFET
395982:10959,53:53,08/18/25 19:34:37,STABLE BEAMS,6799,6924.456808813,6897.220795899,0.9,HFET
395982:10959,54:54,08/18/25 19:35:00,STABLE BEAMS,6799,336149.917997360,326554.153058704,41.9,HFET
395982:10959,55:55,08/18/25 19:35:24,STABLE BEAMS,6799,396584.938971523,379625.906354340,49.4,HFET
395982:10959,56:56,08/18/25 19:35:47,STABLE BEAMS,6799,395545.039117278,385124.290274563,49.3,HFET
395982:10959,57:57,08/18/25 19:36:10,STABLE BEAMS,6799,394969.478482556,384713.011743041,49.2,HFET
395982:10959,58:58,08/18/25 19:36:33,STABLE BEAMS,6799,396008.564056056,386370.837538794,49.4,HFET
395982:10959,59:59,08/18/25 19:36:57,STABLE BEAMS,6799,396461.711707667,386600.725712452,49.4,HFET
395982:10959,60:60,08/18/25 19:37:20,STABLE BEAMS,6799,394130.086719033,384737.349978346,49.1,HFET
395982:10959,61:61,08/18/25 19:37:43,STABLE BEAMS,6799,393054.170985712,294730.746829389,49.0,HFET
395982:10959,62:62,08/18/25 19:38:07,STABLE BEAMS,6799,393362.970914539,382349.847819963,49.0,HFET
395982:10959,63:63,08/18/25 19:38:30,STABLE BEAMS,6799,394310.002758190,384070.826371507,49.2,HFET
395982:10959,64:64,08/18/25 19:38:53,STABLE BEAMS,6799,393346.244404527,384216.290389839,49.0,HFET
395982:10959,65:65,08/18/25 19:39:17,STABLE BEAMS,6799,396359.402374364,386865.728206209,49.4,HFET
395982:10959,66:66,08/18/25 19:39:40,STABLE BEAMS,6799,396559.422896780,387444.833190291,49.4,HFET
395982:10959,67:67,08/18/25 19:40:03,STABLE BEAMS,6799,396100.821981179,386977.943550359,49.4,HFET
395982:10959,68:68,08/18/25 19:40:27,STABLE BEAMS,6799,393727.767855085,378731.889465282,49.1,HFET
395982:10959,69:69,08/18/25 19:40:50,STABLE BEAMS,6799,391584.930148449,382729.619649094,48.8,HFET
395982:10959,70:70,08/18/25 19:41:13,STABLE BEAMS,6799,391111.923047908,382273.764405041,48.8,HFET
395982:10959,71:71,08/18/25 19:41:37,STABLE BEAMS,6799,392562.117883537,383714.584746722,48.9,HFET
395982:10959,72:72,08/18/25 19:42:00,STABLE BEAMS,6799,392620.231025055,383684.027781850,48.9,HFET
395982:10959,73:73,08/18/25 19:42:23,STABLE BEAMS,6799,391792.885949245,382975.883246379,48.8,HFET
395982:10959,74:74,08/18/25 19:42:46,STABLE BEAMS,6799,388540.639483659,379902.107587137,48.4,HFET
395982:10959,75:75,08/18/25 19:43:10,STABLE BEAMS,6799,387032.738230160,377874.274679396,48.2,HFET
395982:10959,76:76,08/18/25 19:43:33,STABLE BEAMS,6799,386519.319634728,377892.554548532,48.2,HFET
395982:10959,77:77,08/18/25 19:43:56,STABLE BEAMS,6799,386130.267629437,377679.006892130,48.1,HFET
395982:10959,78:78,08/18/25 19:44:20,STABLE BEAMS,6799,385480.111544064,377048.649002534,48.1,HFET
395982:10959,79:79,08/18/25 19:44:43,STABLE BEAMS,6799,384923.148514824,376619.995990277,48.0,HFET
395982:10959,80:80,08/18/25 19:45:06,STABLE BEAMS,6799,384309.903433932,376101.084479709,47.9,HFET
395982:10959,81:81,08/18/25 19:45:30,STABLE BEAMS,6799,383542.950985657,369799.783201582,47.8,HFET
395982:10959,82:82,08/18/25 19:45:53,STABLE BEAMS,6799,387202.887067621,378747.229022024,48.3,HFET
395982:10959,83:83,08/18/25 19:46:16,STABLE BEAMS,6799,400357.521668352,390943.433351015,49.9,HFET
395982:10959,84:84,08/18/25 19:46:40,STABLE BEAMS,6799,414338.727903203,404147.024289882,51.7,HFET
395982:10959,85:85,08/18/25 19:47:03,STABLE BEAMS,6799,424422.945678929,412980.611970353,52.9,HFET
395982:10959,86:86,08/18/25 19:47:26,STABLE BEAMS,6799,425748.692246309,414489.677906282,53.1,HFET
395982:10959,87:87,08/18/25 19:47:49,STABLE BEAMS,6799,415446.468095057,310807.654175657,51.8,HFET
395982:10959,88:88,08/18/25 19:48:13,STABLE BEAMS,6799,404387.220386545,393286.832272676,50.4,HFET
395982:10959,89:89,08/18/25 19:48:36,STABLE BEAMS,6799,388445.737021376,379187.040390541,48.4,HFET
395982:10959,90:90,08/18/25 19:48:59,STABLE BEAMS,6799,368915.779252525,360916.801051666,46.0,HFET
395982:10959,91:91,08/18/25 19:49:23,STABLE BEAMS,6799,348147.244628572,341501.975358228,43.4,HFET
395982:10959,92:92,08/18/25 19:49:46,STABLE BEAMS,6799,326221.545388516,320557.196410765,40.7,HFET
