#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
382913:9877,41:41,07/08/24 14:41:36,STABLE BEAMS,6800,7826.352195639,6713.857922912,0.3,HFET
382913:9877,42:42,07/08/24 14:41:59,STABLE BEAMS,6800,64728.040705338,64271.403290211,2.5,HFET
382913:9877,43:43,07/08/24 14:42:22,STABLE BEAMS,6800,240659.527239289,236793.693282385,12.4,HFET
382913:9877,44:44,07/08/24 14:42:46,STABLE BEAMS,6800,272379.488016598,267831.312590536,43.2,HFET
382913:9877,45:45,07/08/24 14:43:09,STABLE BEAMS,6800,103795.659976988,102755.393850128,27.2,HFET
382913:9877,46:46,07/08/24 14:43:32,STABLE BEAMS,6800,9417.837871624,8720.736879666,3.5,HFET
382913:9877,47:47,07/08/24 14:43:56,STABLE BEAMS,6800,120961.874788983,118350.908322013,0.2,HFET
382913:9877,48:48,07/08/24 14:44:19,STABLE BEAMS,6800,65117.363816891,63612.315954917,43.2,HFET
382913:9877,49:49,07/08/24 14:44:42,STABLE BEAMS,6800,39813.353705129,39539.150409732,1.9,HFET
382913:9877,50:50,07/08/24 14:45:06,STABLE BEAMS,6800,162586.639901594,160932.883721921,11.5,HFET
382913:9877,51:51,07/08/24 14:45:29,STABLE BEAMS,6800,298255.795470394,293176.731037783,29.5,HFET
382913:9877,52:52,07/08/24 14:45:52,STABLE BEAMS,6800,192345.296533039,130167.287918217,33.9,HFET
382913:9877,53:53,07/08/24 14:46:16,STABLE BEAMS,6800,54813.953784709,54364.282329687,15.6,HFET
382913:9877,54:54,07/08/24 14:46:39,STABLE BEAMS,6800,77906.484506938,76251.157413864,1.4,HFET
382913:9877,55:55,07/08/24 14:47:02,STABLE BEAMS,6800,316818.005657780,310940.432819660,42.5,HFET
382913:9877,56:56,07/08/24 14:47:25,STABLE BEAMS,6800,320850.565299731,314940.667404294,43.1,HFET
382913:9877,57:57,07/08/24 14:47:49,STABLE BEAMS,6800,320275.968582451,314445.040613224,43.1,HFET
382913:9877,58:58,07/08/24 14:48:12,STABLE BEAMS,6800,318333.273897724,312619.060668156,43.0,HFET
382913:9877,59:59,07/08/24 14:48:35,STABLE BEAMS,6800,313867.870385936,307786.876034379,42.3,HFET
382913:9877,60:60,07/08/24 14:48:59,STABLE BEAMS,6800,315714.543309573,310114.333776060,42.2,HFET
382913:9877,61:61,07/08/24 14:49:22,STABLE BEAMS,6800,317946.415201732,312166.160204019,42.7,HFET
382913:9877,62:62,07/08/24 14:49:46,STABLE BEAMS,6800,317563.039136133,311588.218389945,42.8,HFET
382913:9877,63:63,07/08/24 14:50:09,STABLE BEAMS,6800,317027.597534434,311229.882763207,42.6,HFET
382913:9877,64:64,07/08/24 14:50:32,STABLE BEAMS,6800,315967.570160844,310270.224611002,42.6,HFET
382913:9877,65:65,07/08/24 14:50:55,STABLE BEAMS,6800,315048.025197239,309491.749489014,42.4,HFET
382913:9877,66:66,07/08/24 14:51:19,STABLE BEAMS,6800,314393.022609759,308779.656472546,42.3,HFET
382913:9877,67:67,07/08/24 14:51:42,STABLE BEAMS,6800,313808.136514604,303694.605831874,42.2,HFET
382913:9877,68:68,07/08/24 14:52:05,STABLE BEAMS,6800,315016.632571084,309365.999491393,42.3,HFET
382913:9877,69:69,07/08/24 14:52:29,STABLE BEAMS,6800,315349.221442353,309862.514423144,42.4,HFET
382913:9877,70:70,07/08/24 14:52:52,STABLE BEAMS,6800,315140.403483563,309640.082969385,42.4,HFET
382913:9877,71:71,07/08/24 14:53:15,STABLE BEAMS,6800,314786.119270226,309333.856258152,42.4,HFET
382913:9877,72:72,07/08/24 14:53:38,STABLE BEAMS,6800,314429.014452623,308976.954244326,42.3,HFET
382913:9877,73:73,07/08/24 14:54:02,STABLE BEAMS,6800,314020.733150678,308577.165059192,42.3,HFET
382913:9877,74:74,07/08/24 14:54:25,STABLE BEAMS,6800,313630.687871190,308239.955991514,42.2,HFET
382913:9877,75:75,07/08/24 14:54:48,STABLE BEAMS,6800,313049.421940022,307577.943852772,42.1,HFET
382913:9877,76:76,07/08/24 14:55:12,STABLE BEAMS,6800,312526.430625418,307169.368835011,42.1,HFET
382913:9877,77:77,07/08/24 14:55:35,STABLE BEAMS,6800,312311.216188855,306991.600833925,42.0,HFET
382913:9877,78:78,07/08/24 14:55:58,STABLE BEAMS,6800,317943.363820754,312349.187116861,42.2,HFET
