#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
382795:9862,1:1,07/05/24 19:03:19,STABLE BEAMS,6800,486021.456349956,457622.262520041,63.4,AVG
382795:9862,2:2,07/05/24 19:03:42,STABLE BEAMS,6800,493195.122490095,469764.475931969,64.3,AVG
382795:9862,3:3,07/05/24 19:04:06,STABLE BEAMS,6800,492865.447466208,468438.329367163,64.3,AVG
382795:9862,4:4,07/05/24 19:04:29,STABLE BEAMS,6800,493126.509543019,353047.552326568,64.3,AVG
382795:9862,5:5,07/05/24 19:04:52,STABLE BEAMS,6800,493051.977989141,467737.764276447,64.3,AVG
382795:9862,6:6,07/05/24 19:05:15,STABLE BEAMS,6800,491547.842977275,468859.294001321,64.1,AVG
382795:9862,7:7,07/05/24 19:05:39,STABLE BEAMS,6800,490857.032702086,468401.367803388,64.0,AVG
382795:9862,8:8,07/05/24 19:06:02,STABLE BEAMS,6800,490254.276563705,467698.054108446,63.9,AVG
382795:9862,9:9,07/05/24 19:06:25,STABLE BEAMS,6800,490263.792023716,467931.958557072,63.9,AVG
382795:9862,10:10,07/05/24 19:06:49,STABLE BEAMS,6800,490730.142807369,350283.562631252,64.0,AVG
382795:9862,11:11,07/05/24 19:07:12,STABLE BEAMS,6800,489844.333203214,465554.498815336,63.9,AVG
382795:9862,12:12,07/05/24 19:07:35,STABLE BEAMS,6800,488978.193234428,466001.911374412,63.8,AVG
382795:9862,13:13,07/05/24 19:07:59,STABLE BEAMS,6800,488623.020880409,355982.538487915,63.7,AVG
382795:9862,14:14,07/05/24 19:08:22,STABLE BEAMS,6800,488501.096181631,458649.174003574,63.7,AVG
382795:9862,15:15,07/05/24 19:08:45,STABLE BEAMS,6800,488533.740596622,320439.530872270,63.7,AVG
382795:9862,16:16,07/05/24 19:09:09,STABLE BEAMS,6800,488126.986150706,465562.410545080,63.7,AVG
382795:9862,17:17,07/05/24 19:09:32,STABLE BEAMS,6800,487610.141888539,465979.021799773,63.6,AVG
382795:9862,18:18,07/05/24 19:09:55,STABLE BEAMS,6800,487057.284803808,465852.239941758,63.5,AVG
382795:9862,19:19,07/05/24 19:10:19,STABLE BEAMS,6800,486703.979643191,464849.783302160,63.5,AVG
382795:9862,20:20,07/05/24 19:10:42,STABLE BEAMS,6800,485739.451869240,464756.840611841,63.3,AVG
382795:9862,21:21,07/05/24 19:11:05,STABLE BEAMS,6800,495525.198032264,470624.445204391,64.6,AVG
382795:9862,22:22,07/05/24 19:11:28,STABLE BEAMS,6800,495502.614549514,468775.756352980,64.6,AVG
382795:9862,23:23,07/05/24 19:11:52,STABLE BEAMS,6800,494997.563210472,470276.069497216,64.6,AVG
382795:9862,24:24,07/05/24 19:12:15,STABLE BEAMS,6800,494942.838825558,470705.575167704,64.5,AVG
382795:9862,25:25,07/05/24 19:12:38,STABLE BEAMS,6800,493855.927130482,470072.557080506,64.4,AVG
382795:9862,26:26,07/05/24 19:13:02,STABLE BEAMS,6800,494734.132758508,470615.658508598,64.5,AVG
382795:9862,27:27,07/05/24 19:13:25,STABLE BEAMS,6800,494262.681576398,463507.026469608,64.5,AVG
382795:9862,28:28,07/05/24 19:13:48,STABLE BEAMS,6800,493691.523199029,469846.801086874,64.4,AVG
