#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
382795:9862,1:1,07/05/24 19:03:19,STABLE BEAMS,6800,485262.919817798,456908.048775946,63.3,HFET
382795:9862,2:2,07/05/24 19:03:42,STABLE BEAMS,6800,485340.564830903,462283.071525903,63.3,HFET
382795:9862,3:3,07/05/24 19:04:06,STABLE BEAMS,6800,484907.560037242,460874.846246809,63.2,HFET
382795:9862,4:4,07/05/24 19:04:29,STABLE BEAMS,6800,485121.352459139,347316.363555004,63.3,HFET
382795:9862,5:5,07/05/24 19:04:52,STABLE BEAMS,6800,484547.549412269,459669.969020421,63.2,HFET
382795:9862,6:6,07/05/24 19:05:15,STABLE BEAMS,6800,483785.976000554,461455.694284974,63.1,HFET
382795:9862,7:7,07/05/24 19:05:39,STABLE BEAMS,6800,483004.415293686,460907.990934194,63.0,HFET
382795:9862,8:8,07/05/24 19:06:02,STABLE BEAMS,6800,482624.839318823,460419.641407215,62.9,HFET
382795:9862,9:9,07/05/24 19:06:25,STABLE BEAMS,6800,482339.513792430,460368.636334946,62.9,HFET
382795:9862,10:10,07/05/24 19:06:49,STABLE BEAMS,6800,482015.135500176,344062.783547953,62.9,HFET
382795:9862,11:11,07/05/24 19:07:12,STABLE BEAMS,6800,482126.182676360,458219.067012310,62.9,HFET
382795:9862,12:12,07/05/24 19:07:35,STABLE BEAMS,6800,481332.860245316,458715.820020411,62.8,HFET
382795:9862,13:13,07/05/24 19:07:59,STABLE BEAMS,6800,480739.030542728,350238.718049891,62.7,HFET
382795:9862,14:14,07/05/24 19:08:22,STABLE BEAMS,6800,480802.914314929,451421.422045409,62.7,HFET
382795:9862,15:15,07/05/24 19:08:45,STABLE BEAMS,6800,480668.957715211,315280.854761478,62.7,HFET
382795:9862,16:16,07/05/24 19:09:09,STABLE BEAMS,6800,480380.249541820,458173.781209235,62.6,HFET
382795:9862,17:17,07/05/24 19:09:32,STABLE BEAMS,6800,479668.492436202,458389.675874883,62.6,HFET
382795:9862,18:18,07/05/24 19:09:55,STABLE BEAMS,6800,479118.904796428,458259.473703930,62.5,HFET
382795:9862,19:19,07/05/24 19:10:19,STABLE BEAMS,6800,478816.551102196,457316.519549559,62.4,HFET
382795:9862,20:20,07/05/24 19:10:42,STABLE BEAMS,6800,478470.416650978,457801.807765867,62.4,HFET
382795:9862,21:21,07/05/24 19:11:05,STABLE BEAMS,6800,487573.892762909,463072.702839117,63.6,HFET
382795:9862,22:22,07/05/24 19:11:28,STABLE BEAMS,6800,487693.396162982,461387.758493473,63.6,HFET
382795:9862,23:23,07/05/24 19:11:52,STABLE BEAMS,6800,487261.775286804,462926.627379539,63.5,HFET
382795:9862,24:24,07/05/24 19:12:15,STABLE BEAMS,6800,487000.627381364,463152.292419309,63.5,HFET
382795:9862,25:25,07/05/24 19:12:38,STABLE BEAMS,6800,486149.839311926,462737.583038576,63.4,HFET
382795:9862,26:26,07/05/24 19:13:02,STABLE BEAMS,6800,487300.482466899,463544.401452607,63.6,HFET
382795:9862,27:27,07/05/24 19:13:25,STABLE BEAMS,6800,486323.310770543,456061.685578152,63.4,HFET
382795:9862,28:28,07/05/24 19:13:48,STABLE BEAMS,6800,485978.559449596,462506.364449258,63.4,HFET
382795:9862,29:29,07/05/24 19:14:12,STABLE BEAMS,6800,486055.512503959,462574.882085741,63.4,HFET
382795:9862,30:30,07/05/24 19:14:35,STABLE BEAMS,6800,484848.826988641,461872.553175121,63.2,HFET
382795:9862,31:31,07/05/24 19:14:58,STABLE BEAMS,6800,484250.462161698,460827.875234967,63.2,HFET
382795:9862,32:32,07/05/24 19:15:22,STABLE BEAMS,6800,483054.269385926,459114.821768071,63.0,HFET
382795:9862,33:33,07/05/24 19:15:45,STABLE BEAMS,6800,482722.203188023,460118.259866562,63.0,HFET
382795:9862,34:34,07/05/24 19:16:08,STABLE BEAMS,6800,482454.251415234,459779.308548879,62.9,HFET
382795:9862,35:35,07/05/24 19:16:31,STABLE BEAMS,6800,482044.578777580,460386.418287576,62.9,HFET
382795:9862,36:36,07/05/24 19:16:55,STABLE BEAMS,6800,481860.268206440,458455.383495569,62.8,HFET
382795:9862,37:37,07/05/24 19:17:18,STABLE BEAMS,6800,480809.756755632,458060.749311251,62.7,HFET
382795:9862,38:38,07/05/24 19:17:41,STABLE BEAMS,6800,480416.919419046,456416.971343880,62.7,HFET
382795:9862,39:39,07/05/24 19:18:05,STABLE BEAMS,6800,480139.627384068,458326.076997296,62.6,HFET
382795:9862,40:40,07/05/24 19:18:28,STABLE BEAMS,6800,479841.848174756,452269.692828562,62.6,HFET
382795:9862,41:41,07/05/24 19:18:51,STABLE BEAMS,6800,479767.547235295,456327.099291574,62.6,HFET
382795:9862,42:42,07/05/24 19:19:15,STABLE BEAMS,6800,479013.661729230,458254.911421721,62.5,HFET
382795:9862,43:43,07/05/24 19:19:38,STABLE BEAMS,6800,487315.703984783,461182.103781068,63.6,HFET
382795:9862,44:44,07/05/24 19:20:01,STABLE BEAMS,6800,487001.588566373,461010.951074864,63.5,HFET
382795:9862,45:45,07/05/24 19:20:25,STABLE BEAMS,6800,486699.157725432,462298.902674053,63.5,HFET
382795:9862,46:46,07/05/24 19:20:48,STABLE BEAMS,6800,486084.956568574,462824.410769665,63.4,HFET
382795:9862,47:47,07/05/24 19:21:11,STABLE BEAMS,6800,484618.198478465,462047.711317845,63.2,HFET
382795:9862,48:48,07/05/24 19:21:35,STABLE BEAMS,6800,484670.205593636,462324.821059590,63.2,HFET
382795:9862,49:49,07/05/24 19:21:58,STABLE BEAMS,6800,484231.511623841,462202.584304409,63.2,HFET
382795:9862,50:50,07/05/24 19:22:21,STABLE BEAMS,6800,483061.880144868,460131.055247190,63.0,HFET
382795:9862,51:51,07/05/24 19:22:44,STABLE BEAMS,6800,482665.161069314,461041.561257768,62.9,HFET
382795:9862,52:52,07/05/24 19:23:08,STABLE BEAMS,6800,481737.843465198,460123.773738453,62.8,HFET
382795:9862,53:53,07/05/24 19:23:31,STABLE BEAMS,6800,481024.125416208,452762.368648090,62.7,HFET
382795:9862,54:54,07/05/24 19:23:54,STABLE BEAMS,6800,480497.562920029,458611.389420934,62.7,HFET
382795:9862,55:55,07/05/24 19:24:18,STABLE BEAMS,6800,479772.236653067,458002.592524912,62.6,HFET
382795:9862,56:56,07/05/24 19:24:41,STABLE BEAMS,6800,479557.636552366,458665.880756712,62.5,HFET
382795:9862,57:57,07/05/24 19:25:04,STABLE BEAMS,6800,479352.454647774,458105.474235096,62.5,HFET
382795:9862,58:58,07/05/24 19:25:28,STABLE BEAMS,6800,485742.895935883,462687.684645598,63.3,HFET
382795:9862,59:59,07/05/24 19:25:51,STABLE BEAMS,6800,484583.104598280,462122.725334669,63.2,HFET
382795:9862,60:60,07/05/24 19:26:14,STABLE BEAMS,6800,483650.789776770,461394.913158563,63.1,HFET
382795:9862,61:61,07/05/24 19:26:38,STABLE BEAMS,6800,481137.209895261,459171.669779204,62.7,HFET
382795:9862,62:62,07/05/24 19:27:01,STABLE BEAMS,6800,481107.651685007,458469.108522909,62.7,HFET
382795:9862,63:63,07/05/24 19:27:24,STABLE BEAMS,6800,481760.598595315,459501.634877057,62.8,HFET
382795:9862,64:64,07/05/24 19:27:48,STABLE BEAMS,6800,482522.556166149,459360.610430330,62.9,HFET
382795:9862,65:65,07/05/24 19:28:11,STABLE BEAMS,6800,482510.563001847,460770.583094586,62.9,HFET
382795:9862,66:66,07/05/24 19:28:34,STABLE BEAMS,6800,483215.402094476,454721.609858067,63.0,HFET
382795:9862,67:67,07/05/24 19:28:57,STABLE BEAMS,6800,483751.343426197,461429.502921448,63.1,HFET
382795:9862,68:68,07/05/24 19:29:21,STABLE BEAMS,6800,483714.097310292,460648.343240220,63.1,HFET
382795:9862,69:69,07/05/24 19:29:44,STABLE BEAMS,6800,483932.540576606,461507.883696767,63.1,HFET
382795:9862,70:70,07/05/24 19:30:07,STABLE BEAMS,6800,483459.291179163,461025.000938258,63.1,HFET
382795:9862,71:71,07/05/24 19:30:31,STABLE BEAMS,6800,483564.419313510,461743.609031636,63.1,HFET
