#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
370354:9049,34:34,07/09/23 19:08:46,STABLE BEAMS,6800,5848.009175688,4277.326272042,0.8,HFET
370354:9049,35:35,07/09/23 19:09:10,STABLE BEAMS,6800,47597.862026687,47318.388863469,2.5,HFET
370354:9049,36:36,07/09/23 19:09:33,STABLE BEAMS,6800,169023.738572117,166980.425939993,10.5,HFET
370354:9049,37:37,07/09/23 19:09:56,STABLE BEAMS,6800,272804.065884181,269275.420015254,27.3,HFET
370354:9049,38:38,07/09/23 19:10:20,STABLE BEAMS,6800,156890.785309180,155669.291395405,24.3,HFET
370354:9049,39:39,07/09/23 19:10:43,STABLE BEAMS,6800,41776.194031333,41539.207793347,9.1,HFET
370354:9049,40:40,07/09/23 19:11:06,STABLE BEAMS,6800,6088.435012368,6058.370308052,2.1,HFET
370354:9049,41:41,07/09/23 19:11:29,STABLE BEAMS,6800,188453.705563924,186348.666921289,1.7,HFET
370354:9049,42:42,07/09/23 19:11:53,STABLE BEAMS,6800,19763.760331030,19721.199370764,1.5,HFET
370354:9049,43:43,07/09/23 19:12:16,STABLE BEAMS,6800,73797.322381498,73443.301346856,4.7,HFET
370354:9049,44:44,07/09/23 19:12:39,STABLE BEAMS,6800,198751.321701972,196464.179253346,12.9,HFET
370354:9049,45:45,07/09/23 19:13:03,STABLE BEAMS,6800,268736.610005982,265505.265150988,35.5,HFET
370354:9049,46:46,07/09/23 19:13:26,STABLE BEAMS,6800,166340.745294479,164458.092649583,28.2,HFET
370354:9049,47:47,07/09/23 19:13:49,STABLE BEAMS,6800,57231.815389728,57018.154150373,14.2,HFET
370354:9049,48:48,07/09/23 19:14:13,STABLE BEAMS,6800,58912.024175258,58403.557807084,1.9,HFET
370354:9049,49:49,07/09/23 19:14:36,STABLE BEAMS,6800,285638.085698877,281660.795914069,35.4,HFET
370354:9049,50:50,07/09/23 19:14:59,STABLE BEAMS,6800,286690.711900116,282747.549095847,35.7,HFET
370354:9049,51:51,07/09/23 19:15:23,STABLE BEAMS,6800,286324.226825021,281887.803273757,35.7,HFET
370321:9045,39:39,07/08/23 19:41:07,STABLE BEAMS,6800,177950.583229467,31068.948995204,35.9,HFET
370321:9045,40:40,07/08/23 19:41:31,STABLE BEAMS,6800,11933.542438968,11455.886300446,0.5,HFET
370321:9045,41:41,07/08/23 19:41:54,STABLE BEAMS,6800,66328.835494318,65915.126277470,2.7,HFET
370321:9045,42:42,07/08/23 19:42:17,STABLE BEAMS,6800,216392.163556615,214007.179474378,13.4,HFET
370321:9045,43:43,07/08/23 19:42:40,STABLE BEAMS,6800,257784.208303807,254271.747108779,35.8,HFET
370321:9045,44:44,07/08/23 19:43:04,STABLE BEAMS,6800,128706.118634984,127602.999654553,25.1,HFET
370321:9045,45:45,07/08/23 19:43:27,STABLE BEAMS,6800,30007.534397152,29796.035931879,9.7,HFET
370321:9045,46:46,07/08/23 19:43:50,STABLE BEAMS,6800,26173.864653191,26017.023437787,0.7,HFET
370321:9045,47:47,07/08/23 19:44:14,STABLE BEAMS,6800,160017.628174770,153746.698527890,34.8,HFET
370321:9045,48:48,07/08/23 19:44:37,STABLE BEAMS,6800,26439.585389197,26361.124803509,1.5,HFET
370321:9045,49:49,07/08/23 19:45:00,STABLE BEAMS,6800,100983.888398422,100432.545115682,4.7,HFET
370321:9045,50:50,07/08/23 19:45:24,STABLE BEAMS,6800,241470.122283739,238326.400316141,27.1,HFET
370321:9045,51:51,07/08/23 19:45:47,STABLE BEAMS,6800,256849.977549396,253991.950158840,35.6,HFET
370321:9045,52:52,07/08/23 19:46:10,STABLE BEAMS,6800,135032.035612365,133779.012937486,28.9,HFET
370321:9045,53:53,07/08/23 19:46:34,STABLE BEAMS,6800,36840.944750789,31432.089905936,5.6,HFET
370579:9063,32:32,07/12/23 17:39:15,STABLE BEAMS,6800,22265.804805158,1821.788461859,0.5,HFET
370579:9063,33:33,07/12/23 17:39:39,STABLE BEAMS,6800,126096.199055102,101058.111783801,10.7,HFET
370579:9063,34:34,07/12/23 17:40:02,STABLE BEAMS,6800,256229.488901388,253172.019147378,27.5,HFET
370579:9063,35:35,07/12/23 17:40:25,STABLE BEAMS,6800,230073.519233956,227229.331219817,36.1,HFET
370579:9063,36:36,07/12/23 17:40:49,STABLE BEAMS,6800,82354.239194794,81679.393306641,23.6,HFET
370579:9063,37:37,07/12/23 17:41:12,STABLE BEAMS,6800,13667.769642469,13619.393808367,2.4,HFET
370579:9063,38:38,07/12/23 17:41:35,STABLE BEAMS,6800,114638.495889225,113037.450509371,0.4,HFET
370579:9063,39:39,07/12/23 17:41:59,STABLE BEAMS,6800,83354.804500735,82475.784394089,36.1,HFET
370579:9063,40:40,07/12/23 17:42:22,STABLE BEAMS,6800,43978.948895588,43688.013822307,1.6,HFET
370579:9063,41:41,07/12/23 17:42:45,STABLE BEAMS,6800,152307.166775993,151165.394094839,13.7,HFET
370579:9063,42:42,07/12/23 17:43:09,STABLE BEAMS,6800,264832.122115246,260967.859304851,28.0,HFET
370579:9063,43:43,07/12/23 17:43:32,STABLE BEAMS,6800,223802.897056251,221474.049992138,35.9,HFET
370579:9063,44:44,07/12/23 17:43:55,STABLE BEAMS,6800,87272.511934273,86643.883628434,14.0,HFET
370579:9063,45:45,07/12/23 17:44:19,STABLE BEAMS,6800,24822.883790804,24763.607976280,5.3,HFET
370579:9063,46:46,07/12/23 17:44:42,STABLE BEAMS,6800,216692.244380951,214106.068228185,1.7,HFET
370579:9063,47:47,07/12/23 17:45:05,STABLE BEAMS,6800,289978.077219339,285922.001663475,36.1,HFET
370293:9043,39:39,07/07/23 11:09:51,STABLE BEAMS,6800,298715.409438899,88715.748701393,37.2,HFET
370293:9043,40:40,07/07/23 11:10:14,STABLE BEAMS,6800,115247.615170965,113073.964746793,37.2,HFET
370293:9043,41:41,07/07/23 11:10:38,STABLE BEAMS,6800,14335.791929443,14254.521485758,0.2,HFET
370293:9043,42:42,07/07/23 11:11:01,STABLE BEAMS,6800,93186.540965975,92698.886927558,2.9,HFET
370293:9043,43:43,07/07/23 11:11:24,STABLE BEAMS,6800,249621.290977451,246392.953212955,27.3,HFET
370293:9043,44:44,07/07/23 11:11:48,STABLE BEAMS,6800,247651.075586969,244240.393915458,37.0,HFET
370293:9043,45:45,07/07/23 11:12:11,STABLE BEAMS,6800,103602.071416372,102668.809224831,26.0,HFET
370293:9043,46:46,07/07/23 11:12:34,STABLE BEAMS,6800,14731.540191027,14702.213925570,3.0,HFET
370293:9043,47:47,07/07/23 11:12:58,STABLE BEAMS,6800,90696.607094269,89224.180802722,0.4,BCM1FUT
370293:9043,48:48,07/07/23 11:13:21,STABLE BEAMS,6800,101182.109743268,99957.360479198,37.0,HFET
370293:9043,49:49,07/07/23 11:13:44,STABLE BEAMS,6800,33820.855928967,33731.257919261,1.3,HFET
370293:9043,50:50,07/07/23 11:14:08,STABLE BEAMS,6800,139230.104349805,138122.159571894,12.7,HFET
370293:9043,51:51,07/07/23 11:14:31,STABLE BEAMS,6800,264126.880136743,260660.516007300,27.6,HFET
370293:9043,52:52,07/07/23 11:14:54,STABLE BEAMS,6800,246090.300044151,242606.795498867,36.9,HFET
370293:9043,53:53,07/07/23 11:15:17,STABLE BEAMS,6800,97733.969747783,97224.023611355,15.2,HFET
370293:9043,54:54,07/07/23 11:15:41,STABLE BEAMS,6800,27557.284795712,27419.059102247,5.6,HFET
370293:9043,55:55,07/07/23 11:16:04,STABLE BEAMS,6800,211593.466721816,208902.323762712,1.8,HFET
370293:9043,56:56,07/07/23 11:16:27,STABLE BEAMS,6800,297376.109607898,292802.119825109,37.1,HFET
370293:9043,57:57,07/07/23 11:16:51,STABLE BEAMS,6800,297447.704003615,292591.912543887,37.0,HFET
370293:9043,58:58,07/07/23 11:17:14,STABLE BEAMS,6800,296442.153920680,292317.418796183,37.0,HFET
370293:9043,59:59,07/07/23 11:17:37,STABLE BEAMS,6800,293227.723366970,288792.278868426,36.5,HFET
370293:9043,60:60,07/07/23 11:18:01,STABLE BEAMS,6800,294351.354201216,286659.274983480,36.5,HFET
370497:9057,1:1,07/11/23 09:38:33,STABLE BEAMS,6800,14789.926699331,10730.965035912,0.5,HFET
370497:9057,2:2,07/11/23 09:38:57,STABLE BEAMS,6800,91370.320544774,90554.881520436,3.0,HFET
370497:9057,3:3,07/11/23 09:39:20,STABLE BEAMS,6800,240397.735535093,237155.693363590,26.2,HFET
370497:9057,4:4,07/11/23 09:39:43,STABLE BEAMS,6800,242732.160868634,240051.488878374,36.0,HFET
370497:9057,5:5,07/11/23 09:40:07,STABLE BEAMS,6800,103235.359061181,102266.846309550,25.5,HFET
370497:9057,6:6,07/11/23 09:40:30,STABLE BEAMS,6800,16029.787269167,15997.162971378,3.9,HFET
370497:9057,7:7,07/11/23 09:40:53,STABLE BEAMS,6800,81740.407639068,80546.629542269,0.3,HFET
370497:9057,8:8,07/11/23 09:41:17,STABLE BEAMS,6800,109635.203610154,108418.091889735,35.8,HFET
370497:9057,9:9,07/11/23 09:41:40,STABLE BEAMS,6800,37104.724864439,36882.367538958,1.6,HFET
370497:9057,10:10,07/11/23 09:42:03,STABLE BEAMS,6800,143200.255674742,142205.358850944,13.1,HFET
370497:9057,11:11,07/11/23 09:42:27,STABLE BEAMS,6800,259275.391846830,256041.454833205,28.2,HFET
370497:9057,12:12,07/11/23 09:42:50,STABLE BEAMS,6800,237055.575898619,234127.728062632,35.7,HFET
