#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
370293:9043,39:39,07/07/23 11:09:51,STABLE BEAMS,6800,304962.113095069,90590.594916211,38.0,DT
370293:9043,40:40,07/07/23 11:10:15,STABLE BEAMS,6800,305020.366045969,302250.634474580,38.0,DT
370293:9043,41:41,07/07/23 11:10:38,STABLE BEAMS,6800,126124.384544095,123752.477008169,15.7,DT
370293:9043,42:42,07/07/23 11:11:01,STABLE BEAMS,6800,16015.434539239,15944.025763088,2.0,DT
370293:9043,43:43,07/07/23 11:11:25,STABLE BEAMS,6800,91848.011753072,90676.418767636,11.4,DT
370293:9043,44:44,07/07/23 11:11:48,STABLE BEAMS,6800,253293.209426635,249968.153478529,31.5,DT
370293:9043,45:45,07/07/23 11:12:11,STABLE BEAMS,6800,255249.123849488,253342.684114394,31.8,DT
370293:9043,46:46,07/07/23 11:12:35,STABLE BEAMS,6800,111041.819749202,110831.344478171,13.8,DT
370293:9043,47:47,07/07/23 11:12:58,STABLE BEAMS,6800,17126.225534436,16993.980646687,2.1,DT
370293:9043,48:48,07/07/23 11:13:21,STABLE BEAMS,6800,86614.489560442,86022.619469059,10.8,DT
370293:9043,49:49,07/07/23 11:13:44,STABLE BEAMS,6800,111031.820436312,110759.290124985,13.8,DT
370293:9043,50:50,07/07/23 11:14:08,STABLE BEAMS,6800,34171.804448211,33917.309878542,4.3,DT
370293:9043,51:51,07/07/23 11:14:31,STABLE BEAMS,6800,140150.321397200,138320.892399749,17.4,DT
370293:9043,52:52,07/07/23 11:14:54,STABLE BEAMS,6800,268162.238223689,264385.343810390,33.4,DT
370293:9043,53:53,07/07/23 11:15:18,STABLE BEAMS,6800,255321.109693943,254095.220428570,31.8,DT
370293:9043,54:54,07/07/23 11:15:41,STABLE BEAMS,6800,103648.388058248,103172.306994492,12.9,DT
370293:9043,55:55,07/07/23 11:16:04,STABLE BEAMS,6800,30366.957666614,30065.712833821,3.8,DT
370293:9043,56:56,07/07/23 11:16:28,STABLE BEAMS,6800,209782.555229906,206556.406903870,26.1,DT
370293:9043,57:57,07/07/23 11:16:51,STABLE BEAMS,6800,303063.116701888,298115.630323787,37.7,DT
370293:9043,58:58,07/07/23 11:17:14,STABLE BEAMS,6800,303408.408121967,299186.879529778,37.8,DT
370293:9043,59:59,07/07/23 11:17:38,STABLE BEAMS,6800,302557.544967383,297981.266310033,37.7,DT
370293:9043,60:60,07/07/23 11:18:01,STABLE BEAMS,6800,299059.325972467,291242.703751178,37.2,DT
370321:9045,39:39,07/08/23 19:41:08,STABLE BEAMS,6800,179660.485676364,25588.969314085,22.4,HFET
370321:9045,40:40,07/08/23 19:41:31,STABLE BEAMS,6800,13379.457884914,11907.452965552,1.7,PXL
370321:9045,41:41,07/08/23 19:41:54,STABLE BEAMS,6800,12992.624038687,12919.421016727,1.6,DT
370321:9045,42:42,07/08/23 19:42:17,STABLE BEAMS,6800,67625.332372782,66913.958089662,8.4,DT
370321:9045,43:43,07/08/23 19:42:41,STABLE BEAMS,6800,217068.834733927,214213.151012692,27.0,DT
370321:9045,44:44,07/08/23 19:43:04,STABLE BEAMS,6800,265680.096983627,263837.900216694,33.1,DT
370321:9045,45:45,07/08/23 19:43:27,STABLE BEAMS,6800,135636.908562192,134933.634015257,16.9,DT
370321:9045,46:46,07/08/23 19:43:51,STABLE BEAMS,6800,33633.926751251,33560.124935701,4.2,DT
370321:9045,47:47,07/08/23 19:44:14,STABLE BEAMS,6800,23381.161836772,22842.031232903,2.9,DT
370321:9045,48:48,07/08/23 19:44:37,STABLE BEAMS,6800,169880.495716787,169268.803485743,21.1,DT
370321:9045,49:49,07/08/23 19:45:01,STABLE BEAMS,6800,27782.957014072,27618.908523355,3.5,DT
370321:9045,50:50,07/08/23 19:45:24,STABLE BEAMS,6800,100459.682277907,99181.332509496,12.5,DT
370321:9045,51:51,07/08/23 19:45:47,STABLE BEAMS,6800,245161.406452947,242463.316524567,30.5,DT
370321:9045,52:52,07/08/23 19:46:11,STABLE BEAMS,6800,264019.182778152,261749.482268429,32.9,DT
370321:9045,53:53,07/08/23 19:46:34,STABLE BEAMS,6800,143392.507278298,100543.352993624,17.8,DT
370340:9046,24:24,07/09/23 10:57:13,STABLE BEAMS,6800,296388.193476578,24543.036106059,36.9,DT
370340:9046,25:25,07/09/23 10:57:36,STABLE BEAMS,6800,296003.788285346,252987.331684540,36.8,DT
370340:9046,26:26,07/09/23 10:57:59,STABLE BEAMS,6800,295997.023912263,293413.447662305,36.8,DT
370340:9046,27:27,07/09/23 10:58:23,STABLE BEAMS,6800,166800.661594584,165880.963978007,20.8,DT
370340:9046,28:28,07/09/23 10:58:46,STABLE BEAMS,6800,13611.621148796,13532.100565122,1.7,DT
370340:9046,29:29,07/09/23 10:59:09,STABLE BEAMS,6800,68366.254629176,67025.795813361,8.5,DT
370340:9046,30:30,07/09/23 10:59:33,STABLE BEAMS,6800,212174.952698317,204638.440200101,26.4,DT
370340:9046,31:31,07/09/23 10:59:56,STABLE BEAMS,6800,269414.201771992,266663.289574976,33.5,DT
370340:9046,32:32,07/09/23 11:00:19,STABLE BEAMS,6800,142213.151138099,141621.832564586,17.7,DT
370340:9046,33:33,07/09/23 11:00:43,STABLE BEAMS,6800,36917.353735132,36806.226479907,4.6,DT
370340:9046,34:34,07/09/23 11:01:06,STABLE BEAMS,6800,10761.105195817,10500.851073466,1.3,DT
370340:9046,35:35,07/09/23 11:01:29,STABLE BEAMS,6800,191147.364712890,190183.616037372,23.8,DT
370340:9046,36:36,07/09/23 11:01:52,STABLE BEAMS,6800,25207.406036467,25063.030578313,3.1,DT
370340:9046,37:37,07/09/23 11:02:16,STABLE BEAMS,6800,85816.484653397,83808.994216702,10.7,DT
370340:9046,38:38,07/09/23 11:02:39,STABLE BEAMS,6800,224812.883630480,215184.611433715,28.0,DT
370340:9046,39:39,07/09/23 11:03:02,STABLE BEAMS,6800,270159.959425814,266199.454458338,33.6,DT
370340:9046,40:40,07/09/23 11:03:26,STABLE BEAMS,6800,163112.637649991,162505.900084854,20.3,DT
370340:9046,41:41,07/09/23 11:03:49,STABLE BEAMS,6800,51225.395929854,50733.547854443,6.4,DT
370340:9046,42:42,07/09/23 11:04:12,STABLE BEAMS,6800,69207.485936171,65421.544974294,8.6,DT
370340:9046,43:43,07/09/23 11:04:36,STABLE BEAMS,6800,292985.692098207,280382.354971532,36.5,DT
370340:9046,44:44,07/09/23 11:04:59,STABLE BEAMS,6800,293773.392629561,281404.068163230,36.6,DT
370340:9046,45:45,07/09/23 11:05:22,STABLE BEAMS,6800,293923.200617251,286903.676449850,36.6,DT
370354:9049,34:34,07/09/23 19:08:47,STABLE BEAMS,6800,259594.541480950,99079.912282885,32.3,DT
370354:9049,35:35,07/09/23 19:09:10,STABLE BEAMS,6800,7952.141518365,7904.870777946,1.0,DT
370354:9049,36:36,07/09/23 19:09:33,STABLE BEAMS,6800,48499.975141201,47947.530989708,6.0,DT
370354:9049,37:37,07/09/23 19:09:57,STABLE BEAMS,6800,170460.112143890,168225.080558220,21.2,DT
370354:9049,38:38,07/09/23 19:10:20,STABLE BEAMS,6800,279455.476361305,277484.898014754,34.8,DT
370354:9049,39:39,07/09/23 19:10:43,STABLE BEAMS,6800,164251.195151538,163578.554271453,20.4,DT
370354:9049,40:40,07/09/23 19:11:06,STABLE BEAMS,6800,45392.753560781,45269.214111599,5.6,DT
370354:9049,41:41,07/09/23 19:11:30,STABLE BEAMS,6800,7372.212427228,7290.716064617,0.9,DT
370354:9049,42:42,07/09/23 19:11:53,STABLE BEAMS,6800,193156.215567388,192776.013646653,24.0,DT
370354:9049,43:43,07/09/23 19:12:16,STABLE BEAMS,6800,21002.813183621,20896.263414056,2.6,DT
370354:9049,44:44,07/09/23 19:12:40,STABLE BEAMS,6800,75251.059758834,74420.599139452,9.4,DT
370354:9049,45:45,07/09/23 19:13:03,STABLE BEAMS,6800,199679.227073395,197297.231668825,24.9,DT
370354:9049,46:46,07/09/23 19:13:26,STABLE BEAMS,6800,276127.878252852,273249.759078885,34.4,DT
370354:9049,47:47,07/09/23 19:13:50,STABLE BEAMS,6800,173495.401595232,172936.024812166,21.6,DT
370354:9049,48:48,07/09/23 19:14:13,STABLE BEAMS,6800,62033.992363112,61752.516302007,7.7,DT
370354:9049,49:49,07/09/23 19:14:36,STABLE BEAMS,6800,54995.154842651,54228.967520427,6.8,DT
370354:9049,50:50,07/09/23 19:15:00,STABLE BEAMS,6800,291895.956227727,287880.946060345,36.3,DT
370354:9049,51:51,07/09/23 19:15:23,STABLE BEAMS,6800,292906.762346794,288367.154974789,36.5,DT
370406:9050,37:37,07/10/23 12:29:29,STABLE BEAMS,6800,262873.128545945,20876.984301964,34.2,DT
370406:9050,38:38,07/10/23 12:29:52,STABLE BEAMS,6800,282551.158947965,270768.814046792,36.8,DT
370406:9050,39:39,07/10/23 12:30:15,STABLE BEAMS,6800,135622.081347603,135300.324461328,17.6,DT
370406:9050,40:40,07/10/23 12:30:39,STABLE BEAMS,6800,13337.787869733,13243.315129989,1.7,DT
370406:9050,41:41,07/10/23 12:31:02,STABLE BEAMS,6800,70912.692128903,70070.739636765,9.2,DT
370406:9050,42:42,07/10/23 12:31:25,STABLE BEAMS,6800,223958.505343262,221469.810684439,29.1,DT
370406:9050,43:43,07/10/23 12:31:48,STABLE BEAMS,6800,250004.512511282,247935.379781517,32.5,DT
370406:9050,44:44,07/10/23 12:32:12,STABLE BEAMS,6800,124736.844798975,124452.865109848,16.2,DT
370406:9050,45:45,07/10/23 12:32:35,STABLE BEAMS,6800,29497.418757182,29407.748043634,3.8,DT
370406:9050,46:46,07/10/23 12:32:59,STABLE BEAMS,6800,14484.727098439,14351.401653797,1.9,DT
370406:9050,47:47,07/10/23 12:33:22,STABLE BEAMS,6800,175701.344704182,175065.019827947,22.9,DT
370406:9050,48:48,07/10/23 12:33:45,STABLE BEAMS,6800,26548.889919464,26391.129799580,3.5,DT
370406:9050,49:49,07/10/23 12:34:08,STABLE BEAMS,6800,93777.997252541,92671.044877024,12.2,DT
370406:9050,50:50,07/10/23 12:34:32,STABLE BEAMS,6800,233192.329227158,230341.628090286,30.3,DT
370406:9050,51:51,07/10/23 12:34:55,STABLE BEAMS,6800,252313.093721612,250392.169872441,32.8,DT
370406:9050,52:52,07/10/23 12:35:18,STABLE BEAMS,6800,138042.101116123,137533.560845934,18.0,DT
370406:9050,53:53,07/10/23 12:35:42,STABLE BEAMS,6800,36821.590912438,36570.105195829,4.8,DT
370406:9050,54:54,07/10/23 12:36:05,STABLE BEAMS,6800,103300.147326811,101903.930945265,13.4,DT
370406:9050,55:55,07/10/23 12:36:28,STABLE BEAMS,6800,280227.783567224,276346.291650794,36.5,DT
370406:9050,56:56,07/10/23 12:36:52,STABLE BEAMS,6800,280736.523205904,276555.275988932,36.5,DT
370406:9050,57:57,07/10/23 12:37:15,STABLE BEAMS,6800,280333.363964042,276879.298794132,36.5,DT
370460:9055,8:8,07/11/23 03:20:19,STABLE BEAMS,6800,12202.635970678,3876.571235539,1.5,DT
370460:9055,9:9,07/11/23 03:20:42,STABLE BEAMS,6800,43247.008706023,42771.453124860,5.4,DT
370460:9055,10:10,07/11/23 03:21:06,STABLE BEAMS,6800,155420.892472961,153449.256291120,19.3,DT
370460:9055,11:11,07/11/23 03:21:29,STABLE BEAMS,6800,275688.770248304,272530.417390677,34.3,DT
370460:9055,12:12,07/11/23 03:21:52,STABLE BEAMS,6800,199342.963021931,198715.389279084,24.8,DT
370460:9055,13:13,07/11/23 03:22:16,STABLE BEAMS,6800,60260.727741107,55897.132467576,7.5,DT
370460:9055,14:14,07/11/23 03:22:39,STABLE BEAMS,6800,11686.618882955,9684.330216828,1.5,DT
370460:9055,15:15,07/11/23 03:23:02,STABLE BEAMS,6800,182426.454630258,181579.447461244,22.7,DT
370460:9055,16:16,07/11/23 03:23:26,STABLE BEAMS,6800,23261.411439329,23184.592011872,2.9,DT
370460:9055,17:17,07/11/23 03:23:49,STABLE BEAMS,6800,63275.651390939,62705.096317302,7.9,DT
370460:9055,18:18,07/11/23 03:24:12,STABLE BEAMS,6800,175610.716037382,173101.058939346,21.9,DT
370460:9055,19:19,07/11/23 03:24:36,STABLE BEAMS,6800,280100.495241509,277449.560666965,34.9,DT
370460:9055,20:20,07/11/23 03:24:59,STABLE BEAMS,6800,198643.536690593,197668.486426546,24.7,DT
370460:9055,21:21,07/11/23 03:25:22,STABLE BEAMS,6800,77976.418289772,77805.066157024,9.7,DT
370460:9055,22:22,07/11/23 03:25:45,STABLE BEAMS,6800,28313.012970299,27883.708907048,3.5,DT
370460:9055,23:23,07/11/23 03:26:09,STABLE BEAMS,6800,286554.483211993,282929.159369728,35.7,DT
370460:9055,24:24,07/11/23 03:26:32,STABLE BEAMS,6800,294470.285216701,231417.631936796,36.6,DT
370497:9057,1:1,07/11/23 09:38:34,STABLE BEAMS,6800,21265.662675132,11337.081780058,2.6,PXL
370497:9057,2:2,07/11/23 09:38:57,STABLE BEAMS,6800,90751.379314600,90132.853730039,11.3,PXL
370497:9057,3:3,07/11/23 09:39:20,STABLE BEAMS,6800,90433.249348610,89262.791462480,11.3,DT
370497:9057,4:4,07/11/23 09:39:44,STABLE BEAMS,6800,244802.949698012,242169.824323561,30.5,DT
370497:9057,5:5,07/11/23 09:40:07,STABLE BEAMS,6800,250771.682218901,248871.778397294,31.2,DT
370497:9057,6:6,07/11/23 09:40:30,STABLE BEAMS,6800,110717.036744234,110503.809459270,13.8,DT
370497:9057,7:7,07/11/23 09:40:54,STABLE BEAMS,6800,19143.462068733,19010.612062688,2.4,DT
370497:9057,8:8,07/11/23 09:41:17,STABLE BEAMS,6800,78835.911811452,78382.569378032,9.8,DT
370497:9057,9:9,07/11/23 09:41:40,STABLE BEAMS,6800,119876.465410121,119229.100326858,14.9,DT
370497:9057,10:10,07/11/23 09:42:04,STABLE BEAMS,6800,37869.761683560,37631.020229616,4.7,DT
370497:9057,11:11,07/11/23 09:42:27,STABLE BEAMS,6800,144300.073456260,142501.026691592,18.0,DT
370497:9057,12:12,07/11/23 09:42:50,STABLE BEAMS,6800,264300.790347624,261158.283076338,32.9,DT
370497:9057,13:13,07/11/23 09:43:13,STABLE BEAMS,6800,245934.175267777,244095.291224937,30.6,DT
370497:9057,14:14,07/11/23 09:43:37,STABLE BEAMS,6800,100654.769287919,100426.020314087,12.5,DT
370497:9057,15:15,07/11/23 09:44:00,STABLE BEAMS,6800,29865.536494677,29539.608513141,3.7,DT
370497:9057,16:16,07/11/23 09:44:23,STABLE BEAMS,6800,183734.069336133,181198.107477725,22.9,DT
370497:9057,17:17,07/11/23 09:44:47,STABLE BEAMS,6800,294552.133841430,290822.294162092,36.7,DT
370497:9057,18:18,07/11/23 09:45:10,STABLE BEAMS,6800,294366.243888502,290208.954611283,36.6,DT
370522:9059,47:47,07/11/23 23:55:30,STABLE BEAMS,6800,168877.528278342,19106.449075480,21.0,DT
370522:9059,48:48,07/11/23 23:55:53,STABLE BEAMS,6800,15042.779368529,11659.844457985,1.9,DT
370522:9059,49:49,07/11/23 23:56:17,STABLE BEAMS,6800,72804.509082421,71851.771614194,9.1,DT
370522:9059,50:50,07/11/23 23:56:40,STABLE BEAMS,6800,225989.015834561,223512.102006222,28.1,DT
370522:9059,51:51,07/11/23 23:57:03,STABLE BEAMS,6800,259229.386954209,257379.312786072,32.3,DT
370522:9059,52:52,07/11/23 23:57:27,STABLE BEAMS,6800,130886.172214884,130210.004773063,16.3,DT
370522:9059,53:53,07/11/23 23:57:50,STABLE BEAMS,6800,32419.222562919,25505.849059820,4.0,DT
370522:9059,54:54,07/11/23 23:58:13,STABLE BEAMS,6800,19329.297727142,19139.184090169,2.4,DT
370522:9059,55:55,07/11/23 23:58:37,STABLE BEAMS,6800,173196.838209585,172371.829858320,21.6,DT
370522:9059,56:56,07/11/23 23:59:00,STABLE BEAMS,6800,27791.095545222,27663.976941510,3.5,DT
370522:9059,57:57,07/11/23 23:59:23,STABLE BEAMS,6800,98371.390724381,97233.258828241,12.2,DT
370522:9059,58:58,07/11/23 23:59:46,STABLE BEAMS,6800,242776.519002340,195743.308899946,30.2,DT
370522:9059,59:59,07/12/23 00:00:10,STABLE BEAMS,6800,261231.157803490,247946.504298730,32.5,DT
370522:9059,60:60,07/12/23 00:00:33,STABLE BEAMS,6800,144808.328063908,144234.950891668,18.0,DT
370522:9059,61:61,07/12/23 00:00:56,STABLE BEAMS,6800,39530.854409412,39228.140375902,4.9,DT
370522:9059,62:62,07/12/23 00:01:20,STABLE BEAMS,6800,122243.072982227,120424.921600396,15.2,DT
370522:9059,63:63,07/12/23 00:01:43,STABLE BEAMS,6800,290253.321176825,286331.412234789,36.1,DT
370522:9059,64:64,07/12/23 00:02:06,STABLE BEAMS,6800,290303.949729469,219175.223867415,36.1,DT
370560:9062,62:62,07/12/23 12:37:34,STABLE BEAMS,6800,311486.127840651,150045.059397237,38.8,PXL
370560:9062,63:63,07/12/23 12:37:58,STABLE BEAMS,6800,311522.632702335,309477.688859137,38.8,DT
370560:9062,64:64,07/12/23 12:38:21,STABLE BEAMS,6800,78585.727303172,78270.343636021,9.8,DT
370560:9062,65:65,07/12/23 12:38:44,STABLE BEAMS,6800,21828.825085537,21659.132961839,2.7,DT
370560:9062,66:66,07/12/23 12:39:07,STABLE BEAMS,6800,126955.237634855,125303.745098035,15.8,DT
370560:9062,67:67,07/12/23 12:39:31,STABLE BEAMS,6800,271911.546925098,268599.163232143,33.8,DT
370560:9062,68:68,07/12/23 12:39:54,STABLE BEAMS,6800,249215.735968074,247936.370080686,31.0,DT
370560:9062,69:69,07/12/23 12:40:17,STABLE BEAMS,6800,85061.281780345,84662.172197105,10.6,DT
370560:9062,70:70,07/12/23 12:40:41,STABLE BEAMS,6800,15133.523317605,15031.517562198,1.9,DT
370560:9062,71:71,07/12/23 12:41:04,STABLE BEAMS,6800,137337.820164011,136445.761797425,17.1,DT
370560:9062,72:72,07/12/23 12:41:27,STABLE BEAMS,6800,72694.262976644,72399.834921531,9.0,DT
370560:9062,73:73,07/12/23 12:41:51,STABLE BEAMS,6800,50372.926815804,50013.413191475,6.3,DT
370560:9062,74:74,07/12/23 12:42:14,STABLE BEAMS,6800,163214.384129873,160741.026448800,20.3,DT
370560:9062,75:75,07/12/23 12:42:37,STABLE BEAMS,6800,286300.205331371,283374.958607266,35.6,DT
370560:9062,76:76,07/12/23 12:43:01,STABLE BEAMS,6800,239225.838471834,237458.998555111,29.8,DT
370560:9062,77:77,07/12/23 12:43:24,STABLE BEAMS,6800,98815.486006223,98599.565255154,12.3,DT
370560:9062,78:78,07/12/23 12:43:47,STABLE BEAMS,6800,27981.341366390,27581.942781804,3.5,DT
370560:9062,79:79,07/12/23 12:44:11,STABLE BEAMS,6800,256801.970245270,253326.986820298,32.0,DT
370560:9062,80:80,07/12/23 12:44:34,STABLE BEAMS,6800,310872.750481124,306292.050854847,38.7,DT
370560:9062,81:81,07/12/23 12:44:57,STABLE BEAMS,6800,311354.794590930,306826.495729386,38.8,DT
370560:9062,82:82,07/12/23 12:45:20,STABLE BEAMS,6800,309366.439555215,304424.338247871,38.5,DT
370579:9063,32:32,07/12/23 17:39:16,STABLE BEAMS,6800,87063.488288842,19921.226167662,10.8,DT
370579:9063,33:33,07/12/23 17:39:39,STABLE BEAMS,6800,22819.617955502,16563.692829876,2.8,DT
370579:9063,34:34,07/12/23 17:40:02,STABLE BEAMS,6800,126714.249170161,125234.108198673,15.8,DT
370579:9063,35:35,07/12/23 17:40:26,STABLE BEAMS,6800,260793.024204569,257743.198829710,32.5,DT
370579:9063,36:36,07/12/23 17:40:49,STABLE BEAMS,6800,238192.366201095,236851.117568338,29.6,DT
370579:9063,37:37,07/12/23 17:41:12,STABLE BEAMS,6800,90297.908895508,90030.023108651,11.2,DT
370579:9063,38:38,07/12/23 17:41:36,STABLE BEAMS,6800,15778.979160094,15650.657220196,2.0,DT
370579:9063,39:39,07/12/23 17:41:59,STABLE BEAMS,6800,111715.162269909,111059.689645625,13.9,DT
370579:9063,40:40,07/12/23 17:42:22,STABLE BEAMS,6800,93396.372697696,93009.014261437,11.6,DT
370579:9063,41:41,07/12/23 17:42:46,STABLE BEAMS,6800,44285.193451400,43987.403623508,5.5,DT
370579:9063,42:42,07/12/23 17:43:09,STABLE BEAMS,6800,154589.733161117,152341.989675716,19.2,DT
370579:9063,43:43,07/12/23 17:43:32,STABLE BEAMS,6800,269947.420275335,267220.148695890,33.6,DT
370579:9063,44:44,07/12/23 17:43:56,STABLE BEAMS,6800,233700.082620921,232031.279707078,29.1,DT
370579:9063,45:45,07/12/23 17:44:19,STABLE BEAMS,6800,92619.056173993,92417.578886521,11.5,DT
370579:9063,46:46,07/12/23 17:44:42,STABLE BEAMS,6800,27463.459254716,27160.646139572,3.4,DT
370579:9063,47:47,07/12/23 17:45:05,STABLE BEAMS,6800,215804.767127625,212786.324711147,26.9,DT
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/ub),totrecorded(/ub)
#10,10,188,188,28957252.545871105,26910557.039447844
#Check JSON:
#(run,ls) in json but not in results: []
