#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
369927:9016,56:56,07/01/23 12:34:13,STABLE BEAMS,6800,5458.882316955,5374.558061636,26.9,DT
369927:9016,57:57,07/01/23 12:34:37,STABLE BEAMS,6800,5419.006945732,5350.207910925,26.7,DT
369927:9016,58:58,07/01/23 12:35:00,STABLE BEAMS,6800,5425.093868009,5383.914376286,26.7,DT
369927:9016,59:59,07/01/23 12:35:23,STABLE BEAMS,6800,919.572477761,915.443188641,4.5,DT
369927:9016,60:60,07/01/23 12:35:46,STABLE BEAMS,6800,691.874134099,685.243050430,3.4,DT
369927:9016,61:61,07/01/23 12:36:10,STABLE BEAMS,6800,2662.651688640,2631.491235351,13.1,DT
369927:9016,62:62,07/01/23 12:36:33,STABLE BEAMS,6800,4885.723433752,4824.505674319,24.0,DT
369927:9016,63:63,07/01/23 12:36:56,STABLE BEAMS,6800,4272.875460199,4253.380426387,21.0,DT
369927:9016,64:64,07/01/23 12:37:20,STABLE BEAMS,6800,1545.525710370,1537.491242247,7.6,DT
369927:9016,65:65,07/01/23 12:37:43,STABLE BEAMS,6800,374.984493745,372.426606641,1.8,DT
369927:9016,66:66,07/01/23 12:38:06,STABLE BEAMS,6800,3412.143328526,3393.679590207,16.8,DT
369927:9016,67:67,07/01/23 12:38:30,STABLE BEAMS,6800,707.588172378,703.279715093,3.5,DT
369927:9016,68:68,07/01/23 12:38:53,STABLE BEAMS,6800,1647.263242515,1631.563459336,8.1,DT
369927:9016,69:69,07/01/23 12:39:16,STABLE BEAMS,6800,3869.589849655,3838.996457367,19.0,DT
369927:9016,70:70,07/01/23 12:39:40,STABLE BEAMS,6800,5097.273048533,5063.971029580,25.1,DT
369927:9016,71:71,07/01/23 12:40:03,STABLE BEAMS,6800,3167.550764735,3153.570396066,15.6,DT
369927:9016,72:72,07/01/23 12:40:26,STABLE BEAMS,6800,1197.270200499,1188.767606723,5.9,DT
369927:9016,73:73,07/01/23 12:40:50,STABLE BEAMS,6800,712.681199468,707.059930912,3.5,DT
369927:9016,74:74,07/01/23 12:41:13,STABLE BEAMS,6800,5335.840889848,5291.748434806,26.3,DT
369927:9016,75:75,07/01/23 12:41:36,STABLE BEAMS,6800,5368.946053138,5325.945335502,26.4,DT
