#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
369927:9016,56:56,07/01/23 12:34:13,STABLE BEAMS,6800,5274.811081841,5193.332193170,25.9,HFET
369927:9016,57:57,07/01/23 12:34:36,STABLE BEAMS,6800,5271.677763474,5204.748903632,25.9,HFET
369927:9016,58:58,07/01/23 12:35:00,STABLE BEAMS,6800,747.218493248,733.343572554,23.9,HFET
369927:9016,59:59,07/01/23 12:35:23,STABLE BEAMS,6800,683.221982553,679.962531892,1.1,HFET
369927:9016,60:60,07/01/23 12:35:46,STABLE BEAMS,6800,2618.221177696,2590.671753061,8.4,HFET
369927:9016,61:61,07/01/23 12:36:09,STABLE BEAMS,6800,4804.660081744,4747.790638942,19.1,HFET
369927:9016,62:62,07/01/23 12:36:33,STABLE BEAMS,6800,4085.561546778,4033.891619866,25.9,HFET
369927:9016,63:63,07/01/23 12:36:56,STABLE BEAMS,6800,1460.869940194,1454.042210678,9.4,HFET
369927:9016,64:64,07/01/23 12:37:19,STABLE BEAMS,6800,326.724585575,324.698930159,2.9,HFET
369927:9016,65:65,07/01/23 12:37:43,STABLE BEAMS,6800,3407.987458289,3385.870750578,0.7,HFET
369927:9016,66:66,07/01/23 12:38:06,STABLE BEAMS,6800,610.592191963,605.092981042,11.9,HFET
369927:9016,67:67,07/01/23 12:38:29,STABLE BEAMS,6800,1626.300497006,1617.043019718,5.0,HFET
369927:9016,68:68,07/01/23 12:38:53,STABLE BEAMS,6800,3835.880188586,3799.315529948,12.3,HFET
369927:9016,69:69,07/01/23 12:39:16,STABLE BEAMS,6800,4968.492153165,4930.225854278,24.3,HFET
369927:9016,70:70,07/01/23 12:39:39,STABLE BEAMS,6800,3030.233393138,3011.182402536,19.3,HFET
369927:9016,71:71,07/01/23 12:40:03,STABLE BEAMS,6800,1103.170632455,1098.173216357,9.8,HFET
369927:9016,72:72,07/01/23 12:40:26,STABLE BEAMS,6800,784.702710835,773.518436814,1.9,HFET
369927:9016,73:73,07/01/23 12:40:49,STABLE BEAMS,6800,5227.540738125,5186.301172680,25.6,HFET
369927:9016,74:74,07/01/23 12:41:13,STABLE BEAMS,6800,5236.302187677,5193.028430408,25.8,HFET
369927:9016,75:75,07/01/23 12:41:36,STABLE BEAMS,6800,5231.258807385,5189.372251267,25.8,HFET
369956:9019,730:730,07/02/23 07:53:17,STABLE BEAMS,6800,174162.649933338,161431.094512849,59.2,HFET
369956:9019,731:731,07/02/23 07:53:41,STABLE BEAMS,6800,123445.406122114,92672.133146435,59.2,HFET
369956:9019,732:732,07/02/23 07:54:04,STABLE BEAMS,6800,21250.193836605,21171.831529161,3.2,HFET
369956:9019,733:733,07/02/23 07:54:27,STABLE BEAMS,6800,79565.676060964,79042.532293864,11.2,HFET
