fill,run,scan,type,step,tStart,tStop,sep,when,length
9031,370129,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9031,370129,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9031,370129,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9031,370129,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9031,370129,1,X1,5,1688214981,1688214990,0.000000,Early,9
9031,370129,1,X1,6,1688214999,1688215008,0.024073,Early,9
9031,370129,1,X1,7,1688215018,1688215025,0.048146,Early,7
9031,370129,1,X1,8,1688215035,1688215044,0.072220,Early,9
9031,370129,1,X1,9,1688215053,1688215062,0.096293,Early,9
9031,370129,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9031,370129,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9031,370129,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9031,370129,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9031,370129,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9031,370129,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9031,370129,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9031,370129,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9031,370129,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9031,370144,1,X1,1,1688214910,1688214917,-0.096293,Late,7
9031,370144,1,X1,2,1688214928,1688214936,-0.072220,Late,8
9031,370144,1,X1,3,1688214945,1688214954,-0.048146,Late,9
9031,370144,1,X1,4,1688214964,1688214971,-0.024073,Late,7
9031,370144,1,X1,5,1688214981,1688214990,0.000000,Late,9
9031,370144,1,X1,6,1688214999,1688215008,0.024073,Late,9
9031,370144,1,X1,7,1688215018,1688215025,0.048146,Late,7
9031,370144,1,X1,8,1688215035,1688215044,0.072220,Late,9
9031,370144,1,X1,9,1688215053,1688215062,0.096293,Late,9
9031,370144,2,Y1,1,1688215092,1688215101,-0.072220,Late,9
9031,370144,2,Y1,2,1688215108,1688215117,-0.054165,Late,9
9031,370144,2,Y1,3,1688215127,1688215134,-0.036110,Late,7
9031,370144,2,Y1,4,1688215143,1688215152,-0.018055,Late,9
9031,370144,2,Y1,5,1688215161,1688215169,0.000000,Late,8
9031,370144,2,Y1,6,1688215178,1688215187,0.018055,Late,9
9031,370144,2,Y1,7,1688215196,1688215204,0.036110,Late,8
9031,370144,2,Y1,8,1688215212,1688215220,0.054165,Late,8
9031,370144,2,Y1,9,1688215229,1688215238,0.072220,Late,9
9035,370169,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9035,370169,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9035,370169,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9035,370169,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9035,370169,1,X1,5,1688214981,1688214990,0.000000,Early,9
9035,370169,1,X1,6,1688214999,1688215008,0.024073,Early,9
9035,370169,1,X1,7,1688215018,1688215025,0.048146,Early,7
9035,370169,1,X1,8,1688215035,1688215044,0.072220,Early,9
9035,370169,1,X1,9,1688215053,1688215062,0.096293,Early,9
9035,370169,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9035,370169,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9035,370169,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9035,370169,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9035,370169,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9035,370169,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9035,370169,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9035,370169,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9035,370169,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9036,370175,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9036,370175,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9036,370175,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9036,370175,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9036,370175,1,X1,5,1688214981,1688214990,0.000000,Early,9
9036,370175,1,X1,6,1688214999,1688215008,0.024073,Early,9
9036,370175,1,X1,7,1688215018,1688215025,0.048146,Early,7
9036,370175,1,X1,8,1688215035,1688215044,0.072220,Early,9
9036,370175,1,X1,9,1688215053,1688215062,0.096293,Early,9
9036,370175,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9036,370175,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9036,370175,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9036,370175,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9036,370175,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9036,370175,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9036,370175,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9036,370175,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9036,370175,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9043,370293,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9043,370293,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9043,370293,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9043,370293,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9043,370293,1,X1,5,1688214981,1688214990,0.000000,Early,9
9043,370293,1,X1,6,1688214999,1688215008,0.024073,Early,9
9043,370293,1,X1,7,1688215018,1688215025,0.048146,Early,7
9043,370293,1,X1,8,1688215035,1688215044,0.072220,Early,9
9043,370293,1,X1,9,1688215053,1688215062,0.096293,Early,9
9043,370293,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9043,370293,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9043,370293,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9043,370293,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9043,370293,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9043,370293,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9043,370293,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9043,370293,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9043,370293,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9045,370321,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9045,370321,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9045,370321,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9045,370321,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9045,370321,1,X1,5,1688214981,1688214990,0.000000,Early,9
9045,370321,1,X1,6,1688214999,1688215008,0.024073,Early,9
9045,370321,1,X1,7,1688215018,1688215025,0.048146,Early,7
9045,370321,1,X1,8,1688215035,1688215044,0.072220,Early,9
9045,370321,1,X1,9,1688215053,1688215062,0.096293,Early,9
9045,370321,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9045,370321,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9045,370321,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9045,370321,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9045,370321,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9045,370321,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9045,370321,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9045,370321,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9045,370321,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9046,370340,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9046,370340,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9046,370340,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9046,370340,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9046,370340,1,X1,5,1688214981,1688214990,0.000000,Early,9
9046,370340,1,X1,6,1688214999,1688215008,0.024073,Early,9
9046,370340,1,X1,7,1688215018,1688215025,0.048146,Early,7
9046,370340,1,X1,8,1688215035,1688215044,0.072220,Early,9
9046,370340,1,X1,9,1688215053,1688215062,0.096293,Early,9
9046,370340,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9046,370340,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9046,370340,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9046,370340,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9046,370340,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9046,370340,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9046,370340,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9046,370340,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9046,370340,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9049,370354,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9049,370354,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9049,370354,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9049,370354,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9049,370354,1,X1,5,1688214981,1688214990,0.000000,Early,9
9049,370354,1,X1,6,1688214999,1688215008,0.024073,Early,9
9049,370354,1,X1,7,1688215018,1688215025,0.048146,Early,7
9049,370354,1,X1,8,1688215035,1688215044,0.072220,Early,9
9049,370354,1,X1,9,1688215053,1688215062,0.096293,Early,9
9049,370354,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9049,370354,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9049,370354,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9049,370354,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9049,370354,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9049,370354,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9049,370354,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9049,370354,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9049,370354,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9050,370406,1,X1,1,1688992209,1688992218,-0.096293,Early,9
9050,370406,1,X1,2,1688992227,1688992236,-0.072220,Early,9
9050,370406,1,X1,3,1688992246,1688992255,-0.048146,Early,9
9050,370406,1,X1,4,1688992263,1688992272,-0.024073,Early,9
9050,370406,1,X1,5,1688992282,1688992291,0.000000,Early,9
9050,370406,1,X1,6,1688992301,1688992310,0.024073,Early,9
9050,370406,1,X1,7,1688992320,1688992329,0.048146,Early,9
9050,370406,1,X1,8,1688992339,1688992348,0.072220,Early,9
9050,370406,1,X1,9,1688992360,1688992368,0.096293,Early,8
9050,370406,2,Y1,1,1688992397,1688992406,-0.072220,Early,9
9050,370406,2,Y1,2,1688992415,1688992424,-0.054165,Early,9
9050,370406,2,Y1,3,1688992432,1688992441,-0.036110,Early,9
9050,370406,2,Y1,4,1688992450,1688992459,-0.018055,Early,9
9050,370406,2,Y1,5,1688992469,1688992478,0.000000,Early,9
9050,370406,2,Y1,6,1688992486,1688992495,0.018055,Early,9
9050,370406,2,Y1,7,1688992504,1688992513,0.036110,Early,9
9050,370406,2,Y1,8,1688992521,1688992530,0.054165,Early,9
9050,370406,2,Y1,9,1688992539,1688992548,0.072220,Early,9
9055,370460,1,X1,1,1689045602,1689045610,-0.096293,Early,8
9055,370460,1,X1,2,1689045620,1689045628,-0.072220,Early,8
9055,370460,1,X1,3,1689045638,1689045647,-0.048146,Early,9
9055,370460,1,X1,4,1689045657,1689045666,-0.024073,Early,9
9055,370460,1,X1,5,1689045676,1689045685,0.000000,Early,9
9055,370460,1,X1,6,1689045693,1689045702,0.024073,Early,9
9055,370460,1,X1,7,1689045712,1689045721,0.048146,Early,9
9055,370460,1,X1,8,1689045730,1689045739,0.072220,Early,9
9055,370460,1,X1,9,1689045749,1689045757,0.096293,Early,8
9055,370460,2,Y1,1,1689045788,1689045795,-0.072220,Early,7
9055,370460,2,Y1,2,1689045806,1689045813,-0.054165,Early,7
9055,370460,2,Y1,3,1689045823,1689045830,-0.036110,Early,7
9055,370460,2,Y1,4,1689045839,1689045848,-0.018055,Early,9
9055,370460,2,Y1,5,1689045857,1689045865,0.000000,Early,8
9055,370460,2,Y1,6,1689045874,1689045883,0.018055,Early,9
9055,370460,2,Y1,7,1689045892,1689045900,0.036110,Early,8
9055,370460,2,Y1,8,1689045910,1689045919,0.054165,Early,9
9055,370460,2,Y1,9,1689045928,1689045937,0.072220,Early,9
9056,370471,1,X1,1,1688214910,1688214917,-0.096293,Early,7
9056,370471,1,X1,2,1688214928,1688214936,-0.072220,Early,8
9056,370471,1,X1,3,1688214945,1688214954,-0.048146,Early,9
9056,370471,1,X1,4,1688214964,1688214971,-0.024073,Early,7
9056,370471,1,X1,5,1688214981,1688214990,0.000000,Early,9
9056,370471,1,X1,6,1688214999,1688215008,0.024073,Early,9
9056,370471,1,X1,7,1688215018,1688215025,0.048146,Early,7
9056,370471,1,X1,8,1688215035,1688215044,0.072220,Early,9
9056,370471,1,X1,9,1688215053,1688215062,0.096293,Early,9
9056,370471,2,Y1,1,1688215092,1688215101,-0.072220,Early,9
9056,370471,2,Y1,2,1688215108,1688215117,-0.054165,Early,9
9056,370471,2,Y1,3,1688215127,1688215134,-0.036110,Early,7
9056,370471,2,Y1,4,1688215143,1688215152,-0.018055,Early,9
9056,370471,2,Y1,5,1688215161,1688215169,0.000000,Early,8
9056,370471,2,Y1,6,1688215178,1688215187,0.018055,Early,9
9056,370471,2,Y1,7,1688215196,1688215204,0.036110,Early,8
9056,370471,2,Y1,8,1688215212,1688215220,0.054165,Early,8
9056,370471,2,Y1,9,1688215229,1688215238,0.072220,Early,9
9057,370496,1,X1,1,1689068306,1689068314,-0.096293,Early,8
9057,370496,1,X1,2,1689068324,1689068333,-0.072220,Early,9
9057,370496,1,X1,3,1689068343,1689068350,-0.048146,Early,7
9057,370496,1,X1,4,1689068360,1689068369,-0.024073,Early,9
9057,370496,1,X1,5,1689068379,1689068388,0.000000,Early,9
9057,370496,1,X1,6,1689068397,1689068406,0.024073,Early,9
9057,370496,1,X1,7,1689068416,1689068424,0.048146,Early,8
9057,370496,1,X1,8,1689068433,1689068442,0.072220,Early,9
9057,370496,1,X1,9,1689068452,1689068461,0.096293,Early,9
9057,370496,2,Y1,1,1689068490,1689068499,-0.072220,Early,9
9057,370496,2,Y1,2,1689068508,1689068516,-0.054165,Early,8
9057,370496,2,Y1,3,1689068525,1689068534,-0.036110,Early,9
9057,370496,2,Y1,4,1689068544,1689068553,-0.018055,Early,9
9057,370496,2,Y1,5,1689068561,1689068570,0.000000,Early,9
9057,370496,2,Y1,6,1689068579,1689068588,0.018055,Early,9
9057,370496,2,Y1,7,1689068596,1689068605,0.036110,Early,9
9057,370496,2,Y1,8,1689068614,1689068623,0.054165,Early,9
9057,370496,2,Y1,9,1689068631,1689068640,0.072220,Early,9
9059,370522,1,X1,1,1689119726,1689119734,-0.096293,Early,8
9059,370522,1,X1,2,1689119745,1689119753,-0.072220,Early,8
9059,370522,1,X1,3,1689119762,1689119771,-0.048146,Early,9
9059,370522,1,X1,4,1689119781,1689119790,-0.024073,Early,9
9059,370522,1,X1,5,1689119800,1689119809,0.000000,Early,9
9059,370522,1,X1,6,1689119818,1689119826,0.024073,Early,8
9059,370522,1,X1,7,1689119837,1689119845,0.048146,Early,8
9059,370522,1,X1,8,1689119855,1689119864,0.072220,Early,9
9059,370522,1,X1,9,1689119873,1689119882,0.096293,Early,9
9059,370522,2,Y1,1,1689119912,1689119921,-0.072220,Early,9
9059,370522,2,Y1,2,1689119930,1689119938,-0.054165,Early,8
9059,370522,2,Y1,3,1689119947,1689119956,-0.036110,Early,9
9059,370522,2,Y1,4,1689119965,1689119973,-0.018055,Early,8
9059,370522,2,Y1,5,1689119982,1689119991,0.000000,Early,9
9059,370522,2,Y1,6,1689120000,1689120008,0.018055,Early,8
9059,370522,2,Y1,7,1689120017,1689120026,0.036110,Early,9
9059,370522,2,Y1,8,1689120035,1689120043,0.054165,Early,8
9059,370522,2,Y1,9,1689120052,1689120061,0.072220,Early,9
9062,370560,1,X1,1,1689165489,1689165498,-0.096293,Early,9
9062,370560,1,X1,2,1689165508,1689165515,-0.072220,Early,7
9062,370560,1,X1,3,1689165526,1689165534,-0.048146,Early,8
9062,370560,1,X1,4,1689165545,1689165552,-0.024073,Early,7
9062,370560,1,X1,5,1689165562,1689165571,0.000000,Early,9
9062,370560,1,X1,6,1689165581,1689165588,0.024073,Early,7
9062,370560,1,X1,7,1689165598,1689165607,0.048146,Early,9
9062,370560,1,X1,8,1689165617,1689165625,0.072220,Early,8
9062,370560,1,X1,9,1689165635,1689165644,0.096293,Early,9
9062,370560,2,Y1,1,1689165674,1689165683,-0.072220,Early,9
9062,370560,2,Y1,2,1689165692,1689165700,-0.054165,Early,8
9062,370560,2,Y1,3,1689165709,1689165718,-0.036110,Early,9
9062,370560,2,Y1,4,1689165727,1689165735,-0.018055,Early,8
9062,370560,2,Y1,5,1689165744,1689165753,0.000000,Early,9
9062,370560,2,Y1,6,1689165762,1689165770,0.018055,Early,8
9062,370560,2,Y1,7,1689165779,1689165788,0.036110,Early,9
9062,370560,2,Y1,8,1689165797,1689165805,0.054165,Early,8
9062,370560,2,Y1,9,1689165814,1689165823,0.072220,Early,9
9063,370579,1,X1,1,1689183544,1689183553,-0.096293,Early,9
9063,370579,1,X1,2,1689183563,1689183572,-0.072220,Early,9
9063,370579,1,X1,3,1689183581,1689183589,-0.048146,Early,8
