TriggerName,FiringCount
Status_OnGPU,9399
Dataset_ScoutingPFRun3,9399
Dataset_Muon0,9399
DST_HLTMuon_Run3_PFScoutingPixelTracking_v20,9399
HLT_Mu0_L1DoubleMu_v5,7981
HLT_DoubleMu4_3_LowMass_v5,6702
DST_Run3_DoubleMu3_PFScoutingPixelTracking_v20,5901
Dataset_ReservedDoubleMuonLowMass,4984
HLT_L3Mu10NoVtx_v4,3911
HLT_L2Mu10NoVtx_2Cha_v3,3865
HLT_L2Mu10NoVtx_2Cha_CosmicSeed_v3,3622
HLT_DoubleMu4_LowMass_Displaced_v5,3333
HLT_L3Mu10NoVtx_DxyMin0p01cm_v4,2832
HLT_Dimuon25_Jpsi_v18,2690
HLT_L2Mu23NoVtx_2Cha_v4,2570
HLT_Dimuon25_Jpsi_noCorrL1_v10,2320
HLT_L2Mu23NoVtx_2Cha_CosmicSeed_v4,2219
HLT_DoubleL3Mu16_10NoVtx_DxyMin0p01cm_v5,2149
HLT_DoubleMu4_MuMuTrk_Displaced_v19,1872
HLT_DoubleL3Mu18_10NoVtx_DxyMin0p01cm_v4,1865
HLT_DoubleL3dTksMu16_10NoVtx_DxyMin0p01cm_v4,1755
HLT_DoubleL3Mu20_10NoVtx_DxyMin0p01cm_v4,1601
HLT_Dimuon0_Jpsi3p5_Muon2_v9,1488
HLT_DoubleL2Mu_L3Mu18NoVtx_VetoL3Mu0DxyMax0p1cm_v4,1425
HLT_DoubleL2Mu_L3Mu16NoVtx_VetoL3Mu0DxyMax0p1cm_v4,1425
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v10,1184
HLT_DoubleL2Mu10NoVtx_2Cha_CosmicSeed_VetoL3Mu0DxyMax1cm_v4,1160
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v11,1048
HLT_ExpressMuons_v4,933
HLT_IsoMu24_v17,928
HLT_TripleMu_10_5_5_DZ_v14,912
DST_Physics_v9,905
Dataset_L1Accept,905
Dataset_ParkingDoubleMuonLowMass1,900
Dataset_ParkingDoubleMuonLowMass4,899
HLT_DoubleL2Mu10NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v5,875
