#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 7886039.046799281   | 7430569.783763323   |
| 317087:6738 | 05/28/18 23:14:12 | 738  | 738  | 242760139.666163027 | 234153917.051318884 |
| 317089:6738 | 05/29/18 04:46:52 | 999  | 999  | 211761478.273726195 | 204729731.797574997 |
| 317182:6741 | 05/30/18 09:15:47 | 1374 | 1374 | 405015792.834676623 | 391006210.878786564 |
| 317212:6744 | 05/31/18 02:42:18 | 139  | 139  | 51906057.185293801  | 49255412.558512367  |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 125352888.406496599 | 120693741.522547141 |
| 317279:6747 | 05/31/18 17:11:11 | 466  | 466  | 66614005.954133250  | 64332082.434614204  |
| 317291:6749 | 06/01/18 02:53:28 | 803  | 803  | 275933730.202549994 | 267213923.332055926 |
| 317292:6749 | 06/01/18 08:08:06 | 330  | 330  | 84205611.350035965  | 81673631.815888464  |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 122303041.846021384 | 118834733.476388916 |
| 317319:6751 | 06/01/18 19:42:34 | 136  | 136  | 53465872.881142601  | 50383271.156165026  |
| 317320:6751 | 06/01/18 20:37:54 | 1824 | 1824 | 460046817.396784186 | 444545058.289901018 |
| 317338:6752 | 06/02/18 10:48:26 | 40   | 40   | 14496823.252720078  | 13101238.965248547  |
| 317339:6752 | 06/02/18 11:06:15 | 165  | 165  | 66256994.517180003  | 63630403.247609250  |
| 317340:6752 | 06/02/18 12:17:49 | 417  | 417  | 141812295.151918948 | 135204486.685829610 |
| 317382:6755 | 06/03/18 16:34:21 | 70   | 70   | 26365091.256112337  | 23254901.439279649  |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 23037928.415865630  | 21649579.162491191  |
| 317391:6757 | 06/04/18 03:22:00 | 8    | 8    | 3367516.705647971   | 2627410.621542449   |
| 317392:6757 | 06/04/18 03:27:45 | 1898 | 1898 | 485771797.120685101 | 471633899.509169102 |
| 317434:6759 | 06/04/18 22:48:33 | 210  | 210  | 78621608.292993441  | 75522616.416592732  |
| 317435:6759 | 06/05/18 00:15:36 | 1396 | 1396 | 360183419.333589196 | 347196300.606635094 |
| 317438:6759 | 06/05/18 09:20:21 | 307  | 307  | 49730076.783485256  | 47770572.511825040  |
| 317475:6761 | 06/05/18 18:13:48 | 68   | 68   | 26040794.453209795  | 24777065.515144162  |
| 317478:6761 | 06/05/18 18:47:22 | 23   | 23   | 8147720.784726276   | 7610915.373311374   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 159252708.515567183 | 154115634.328126848 |
| 317488:6761 | 06/05/18 23:26:32 | 844  | 844  | 179418804.797282517 | 173890648.599772990 |
| 317527:6763 | 06/06/18 22:52:13 | 1447 | 1447 | 448252240.322347701 | 434267761.743491232 |
| 317591:6768 | 06/08/18 07:07:55 | 292  | 292  | 110950375.514394045 | 106962125.385901898 |
| 317626:6770 | 06/08/18 20:45:31 | 2005 | 2005 | 524628190.637536466 | 507957827.339512885 |
| 317640:6772 | 06/09/18 13:47:49 | 796  | 796  | 259542426.811923772 | 250898825.830709457 |
| 317641:6772 | 06/09/18 19:02:10 | 1390 | 1390 | 265107668.526448667 | 257334706.707439244 |
| 317648:6773 | 06/10/18 06:27:57 | 92   | 92   | 34919403.514104918  | 32582446.026209012  |
| 317649:6773 | 06/10/18 07:08:13 | 619  | 619  | 191954028.295487195 | 185577912.114865988 |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 253526363.164518595 | 245569587.317638397 |
| 317661:6774 | 06/10/18 21:57:00 | 1222 | 1222 | 371817720.854240477 | 360408713.031659186 |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 150682489.224378258 | 146907101.740585059 |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 117535559.564005196 | 113188812.817542255 |
| 317696:6778 | 06/12/18 00:00:43 | 645  | 645  | 228534721.496908218 | 219814423.067354500 |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 2877056.193959796   | 2690376.170141911   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 13258133.427133800  | 12822714.429521699  |
| 318872:6860 | 06/28/18 15:50:31 | 271  | 271  | 90808851.486199588  | 87901766.815205619  |
| 318874:6860 | 06/28/18 17:39:39 | 316  | 316  | 98133252.681073025  | 94917432.296756104  |
| 318876:6860 | 06/28/18 19:45:23 | 160  | 160  | 46304416.234744005  | 44263059.892530844  |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 155978080.523047537 | 151711507.853722095 |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 16224535.401176622  | 15766860.376652125  |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 24    | 45   | 26430 | 26430 | 7110790568.298435211 | 6867781918.037533760 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
