#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 229074636.770684928 | 224324313.774351656 |
| 319347:6904 | 07/08/18 19:53:19 | 650  | 650  | 222144892.452129096 | 204438198.756243706 |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 10608954.903128892  | 4835225.935174400   |
| 319349:6904 | 07/09/18 00:23:35 | 148  | 148  | 40591823.617157735  | 39507167.846035630  |
| 319449:6909 | 07/09/18 20:59:33 | 662  | 662  | 238873954.392116725 | 229802962.334165692 |
| 319450:6909 | 07/10/18 01:32:45 | 657  | 657  | 197993952.077754736 | 192723235.496957779 |
| 319456:6909 | 07/10/18 07:08:41 | 207  | 207  | 51666261.012385204  | 50200471.208723783  |
| 319459:6909 | 07/10/18 08:32:35 | 57   | 57   | 12041957.942848576  | 11746094.209344905  |
| 319486:6911 | 07/11/18 09:10:22 | 48   | 48   | 15777772.855381653  | 15177466.759136798  |
| 319503:6911 | 07/11/18 17:30:46 | 298  | 298  | 86557408.190825656  | 82960888.610911041  |
| 319524:6912 | 07/11/18 22:27:30 | 1394 | 1394 | 449414362.546694338 | 436173412.797875643 |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 69448184.935149372  | 67401676.290317968  |
| 319528:6912 | 07/12/18 10:12:59 | 254  | 254  | 57812197.073113583  | 56473205.802233055  |
| 319579:6919 | 07/13/18 04:43:17 | 3049 | 3049 | 771364891.263013482 | 749295683.398055315 |
| 319625:6921 | 07/14/18 14:05:52 | 190  | 190  | 69908362.525656775  | 67638151.183054984  |
| 319639:6923 | 07/14/18 18:52:14 | 1435 | 1435 | 394990353.541711092 | 382049694.337314546 |
| 319656:6924 | 07/15/18 07:26:02 | 251  | 251  | 85731585.109552100  | 81790324.098875239  |
| 319657:6924 | 07/15/18 09:09:07 | 160  | 160  | 49332117.844169080  | 47611537.403382838  |
| 319658:6924 | 07/15/18 10:17:15 | 203  | 203  | 56038367.408525996  | 54291460.051854156  |
| 319659:6924 | 07/15/18 11:50:27 | 77   | 77   | 19074982.790741239  | 18359907.248674065  |
| 319678:6925 | 07/15/18 15:20:14 | 259  | 259  | 94975237.215108484  | 91522160.099187285  |
| 319687:6927 | 07/15/18 22:28:05 | 45   | 45   | 15832631.564929720  | 15411231.063762059  |
| 319697:6929 | 07/16/18 02:17:41 | 418  | 418  | 58575998.579515368  | 56607222.191397853  |
| 319698:6929 | 07/16/18 05:13:10 | 267  | 267  | 30904205.770699311  | 30174583.106657781  |
| 319756:6931 | 07/16/18 15:39:05 | 1780 | 1780 | 457612926.350404680 | 442724882.038819253 |
| 319840:6939 | 07/17/18 22:27:54 | 341  | 341  | 49189563.809911422  | 47732331.097194843  |
| 319841:6939 | 07/18/18 00:44:34 | 147  | 147  | 17800872.052223176  | 17353771.061656132  |
| 319847:6940 | 07/18/18 04:02:31 | 3    | 3    | 1277116.183275381   | 841615.338254503    |
| 319848:6940 | 07/18/18 04:04:46 | 53   | 53   | 19111285.389600374  | 18265083.076526709  |
| 319849:6940 | 07/18/18 04:28:03 | 483  | 483  | 169520748.578194141 | 164076097.020346373 |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 1196602.838728311   | 1079057.186349913   |
| 319853:6940 | 07/18/18 08:01:32 | 262  | 262  | 71837249.977199078  | 69752127.236657351  |
| 319854:6940 | 07/18/18 09:44:35 | 225  | 225  | 52809760.628316022  | 51348575.055511057  |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 18766636.493306752  | 17509943.852825128  |
| 319909:6942 | 07/19/18 03:03:14 | 6    | 6    | 2229306.983828805   | 1060007.631691256   |
| 319910:6942 | 07/19/18 03:09:21 | 930  | 930  | 283487436.020400047 | 273972036.540561259 |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 13546626.402592374  | 12831087.225447290  |
| 319913:6942 | 07/19/18 09:59:25 | 44   | 44   | 9787484.914033590   | 9407961.784536459   |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 6932253.464938549   | 6575990.898417865   |
| 319915:6942 | 07/19/18 10:37:24 | 401  | 401  | 81836640.250816807  | 79894901.163504064  |
| 319941:6944 | 07/19/18 19:59:36 | 220  | 220  | 81914324.997831851  | 78192120.126356393  |
| 319942:6944 | 07/19/18 21:49:40 | 28   | 28   | 9505663.283068342   | 9265976.747746879   |
