#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 320673:7005 | 08/01/18 02:33:02 | 867  | 867  | 63812093.515717469  | 62554258.795784831  |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 33154576.226693388  | 32614851.285194691  |
| 320688:7006 | 08/01/18 15:24:07 | 599  | 599  | 155667854.162329584 | 150504309.580575675 |
| 320712:7008 | 08/02/18 02:45:02 | 204  | 204  | 68829486.042134970  | 66568794.893963344  |
| 320757:7013 | 08/02/18 14:38:20 | 302  | 302  | 105265978.503230751 | 101511639.000191420 |
| 320804:7017 | 08/03/18 07:27:51 | 1218 | 1218 | 313082638.291970313 | 302484653.692149580 |
| 320807:7017 | 08/03/18 15:28:47 | 2    | 2    | 360866.326499409    | 321833.790649563    |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 104132650.660197169 | 101477411.637376949 |
| 320821:7018 | 08/03/18 23:57:33 | 181  | 181  | 60138289.364931792  | 57699681.029018924  |
| 320822:7018 | 08/04/18 01:09:17 | 522  | 522  | 147730245.417974800 | 142985421.572187811 |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 79033404.736872241  | 76341414.738651603  |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 160676480.349293232 | 156528562.424247652 |
| 320838:7020 | 08/04/18 17:31:13 | 263  | 263  | 91918845.416792363  | 88238184.913184300  |
| 320840:7020 | 08/04/18 19:20:16 | 466  | 466  | 138708119.536363184 | 133450716.314930663 |
| 320841:7020 | 08/04/18 22:26:04 | 205  | 205  | 49926241.896166258  | 48161950.179498151  |
| 320853:7024 | 08/05/18 06:48:21 | 327  | 327  | 116313666.080167189 | 112844414.442191198 |
| 320854:7024 | 08/05/18 08:59:07 | 124  | 124  | 39246241.904173657  | 37853758.299978361  |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 145061633.352503359 | 139939092.463745177 |
| 320856:7024 | 08/05/18 13:36:29 | 159  | 159  | 33008915.293107107  | 31944003.656271793  |
| 320857:7024 | 08/05/18 14:39:58 | 272  | 272  | 52233767.371587187  | 50428412.587037906  |
| 320858:7024 | 08/05/18 16:27:34 | 230  | 230  | 37256530.786060102  | 35804848.198036529  |
| 320859:7024 | 08/05/18 18:00:17 | 40   | 40   | 4907717.854161832   | 4698480.236078832   |
| 320887:7026 | 08/05/18 22:38:35 | 272  | 272  | 102846850.458551943 | 99880757.252095193  |
| 320888:7026 | 08/06/18 00:26:11 | 123  | 123  | 41203198.039609000  | 39630948.255326390  |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 7010464.490088074   | 6309332.756729225   |
| 320917:7031 | 08/06/18 09:25:18 | 1892 | 1892 | 462975615.544699669 | 449051066.868101001 |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 23538803.122063477  | 22913346.983635627  |
| 320933:7033 | 08/07/18 03:29:36 | 171  | 171  | 51657714.453250363  | 49574393.542406835  |
| 320934:7033 | 08/07/18 04:38:32 | 824  | 824  | 207109464.786545753 | 200857220.393469781 |
| 320936:7033 | 08/07/18 10:01:23 | 395  | 395  | 76921012.974726588  | 74725766.962303668  |
| 320941:7033 | 08/07/18 12:39:42 | 93   | 93   | 15435752.779513791  | 14931534.852106612  |
| 320980:7035 | 08/07/18 15:52:40 | 99   | 99   | 37909712.246899337  | 36811520.750229195  |
| 320995:7036 | 08/07/18 19:28:56 | 175  | 175  | 26112568.462208953  | 25050576.902328335  |
| 320996:7036 | 08/07/18 20:42:31 | 376  | 376  | 48461816.238362871  | 46755097.075287566  |
| 321004:7037 | 08/08/18 01:47:43 | 142  | 142  | 46469110.707085133  | 44806461.339323856  |
| 321005:7037 | 08/08/18 02:48:15 | 57   | 57   | 19069262.675222423  | 18326626.461070217  |
| 321006:7037 | 08/08/18 03:15:06 | 162  | 162  | 51660760.227986462  | 49393088.860505804  |
| 321007:7037 | 08/08/18 04:19:57 | 827  | 827  | 199642981.006265938 | 193443219.102575511 |
| 321009:7037 | 08/08/18 09:43:26 | 77   | 77   | 14427745.421108978  | 14041920.490567828  |
| 321010:7037 | 08/08/18 10:16:22 | 340  | 340  | 56652949.767147891  | 54547858.304618552  |
