#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 357538:8132 | 08/15/22 20:37:18 | 25   | 25   | 6495189.042696028   | 5338575.625535043   |
| 357542:8132 | 08/15/22 20:57:04 | 249  | 249  | 89831375.747324765  | 81975712.915605381  |
| 357550:8132 | 08/15/22 22:37:56 | 36   | 36   | 12805929.269662756  | 11679759.832389750  |
| 357610:8136 | 08/17/22 05:34:23 | 191  | 191  | 47362401.542361468  | 44545306.261517249  |
| 357611:8136 | 08/17/22 06:50:11 | 408  | 408  | 113125208.766832113 | 108858245.054671600 |
| 357612:8136 | 08/17/22 09:32:56 | 725  | 725  | 158141237.416582018 | 152655259.952481240 |
| 357613:8136 | 08/17/22 14:22:25 | 256  | 256  | 46287586.072897978  | 45152973.017300181  |
| 357688:8142 | 08/19/22 01:18:58 | 380  | 380  | 138459671.454103917 | 128258466.856364340 |
| 357696:8143 | 08/19/22 06:54:55 | 352  | 352  | 129125020.135051787 | 121817636.402035117 |
| 357697:8143 | 08/19/22 09:24:42 | 39   | 39   | 13848358.762479197  | 12552330.427874407  |
| 357698:8143 | 08/19/22 09:56:19 | 58   | 58   | 19751767.506137729  | 18423954.286885031  |
| 357699:8143 | 08/19/22 10:23:21 | 29   | 29   | 9558661.099221535   | 9129904.756281404   |
| 357700:8143 | 08/19/22 10:36:51 | 756  | 756  | 213071739.596231699 | 207514492.999180764 |
| 357701:8143 | 08/19/22 15:34:11 | 310  | 310  | 70145246.716919735  | 68810186.873049974  |
| 357705:8143 | 08/19/22 18:48:46 | 200  | 200  | 39464321.672104523  | 38384598.540959954  |
| 357706:8143 | 08/19/22 20:11:19 | 161  | 161  | 27403018.056552380  | 26808939.633971047  |
| 357720:8144 | 08/19/22 23:22:18 | 61   | 61   | 18785098.272899844  | 17516143.513030369  |
| 357732:8146 | 08/20/22 10:01:55 | 128  | 128  | 46100097.476945035  | 40211495.665020645  |
| 357734:8146 | 08/20/22 11:04:44 | 300  | 300  | 115759821.061599746 | 107254510.168187335 |
| 357735:8146 | 08/20/22 13:02:37 | 1123 | 1123 | 326442397.071284413 | 315110544.219510376 |
| 357754:8147 | 08/20/22 22:52:35 | 117  | 117  | 37235620.980376989  | 32728813.558851790  |
| 357756:8147 | 08/20/22 23:44:38 | 424  | 424  | 155192642.620726943 | 145822389.607040614 |
| 357757:8147 | 08/21/22 02:31:12 | 7    | 7    | 2321063.513033927   | 2085368.954453617   |
| 357758:8147 | 08/21/22 02:37:20 | 81   | 81   | 26209293.068150226  | 24880551.674684159  |
| 357759:8147 | 08/21/22 03:12:42 | 68   | 68   | 21133102.763539884  | 20209734.565825798  |
| 357766:8148 | 08/21/22 07:27:46 | 115  | 115  | 40530503.371937126  | 35896329.439044364  |
| 357777:8148 | 08/21/22 14:05:35 | 85   | 85   | 23490248.653586071  | 22849018.793728724  |
| 357778:8148 | 08/21/22 14:43:17 | 355  | 355  | 89097493.679001778  | 85681800.531460628  |
| 357779:8148 | 08/21/22 17:05:46 | 74   | 74   | 17063499.124858741  | 16547938.027744683  |
| 357781:8148 | 08/21/22 17:44:36 | 10   | 10   | 2243087.909925409   | 2080793.223810921   |
| 357802:8149 | 08/21/22 20:59:37 | 163  | 163  | 55774173.145741366  | 51652435.285475336  |
| 357803:8149 | 08/21/22 22:05:02 | 153  | 153  | 54641472.433383591  | 51556078.797305204  |
| 357804:8149 | 08/21/22 23:06:51 | 23   | 23   | 8252472.144648762   | 7542239.362496292   |
| 357805:8149 | 08/21/22 23:17:38 | 88   | 88   | 30715028.452784210  | 29014013.557820290  |
| 357806:8149 | 08/21/22 23:53:44 | 56   | 56   | 16509126.417208204  | 15299643.686475784  |
| 357807:8149 | 08/22/22 00:20:46 | 242  | 242  | 79466685.900715262  | 76420432.314716861  |
| 357808:8149 | 08/22/22 01:57:54 | 15   | 15   | 4580614.592374822   | 4233347.064673131   |
| 357809:8149 | 08/22/22 02:06:38 | 41   | 41   | 12503116.057790713  | 11826321.242247976  |
| 357812:8149 | 08/22/22 02:23:37 | 50   | 50   | 14976309.152377913  | 14290667.623009969  |
| 357813:8149 | 08/22/22 02:44:13 | 292  | 292  | 81608235.608321339  | 77920791.590462908  |
| 357814:8149 | 08/22/22 04:39:12 | 212  | 212  | 53701304.141268253  | 50094097.860916980  |
| 357815:8149 | 08/22/22 06:04:22 | 944  | 944  | 196344284.963034034 | 191247913.744141847 |
| 357898:8151 | 08/23/22 02:26:33 | 312  | 312  | 109426202.966792494 | 102645748.845883235 |
| 357899:8151 | 08/23/22 04:29:12 | 637  | 637  | 185280924.492066383 | 176490809.517275840 |
| 357900:8151 | 08/23/22 08:38:20 | 510  | 510  | 113994815.683591470 | 108812711.792145118 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 10    | 45   | 10861 | 10861 | 3074255468.577125072 | 2919829027.663543224 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
