#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 359569:8210 | 09/29/22 14:40:16 | 82   | 82   | 1333644.554903321   | 1327978.580091632   |
| 359571:8210 | 09/29/22 15:29:19 | 151  | 151  | 2400491.491215285   | 2373062.883455087   |
| 359575:8210 | 09/29/22 16:41:24 | 83   | 83   | 1299292.431279646   | 1278827.266775053   |
| 359595:8211 | 09/30/22 00:53:50 | 273  | 273  | 6363163.939929285   | 6237557.691786117   |
| 359597:8211 | 09/30/22 02:45:13 | 94   | 94   | 2155532.399345416   | 2128380.065008461   |
| 359602:8212 | 09/30/22 05:24:23 | 73   | 73   | 5766411.443111194   | 5399101.198307288   |
| 359609:8212 | 09/30/22 08:00:32 | 24   | 24   | 1984598.141159580   | 1689414.764673122   |
| 359612:8212 | 09/30/22 08:31:57 | 12   | 12   | 957776.449892060    | 767408.662560236    |
| 359661:8214 | 09/30/22 14:54:53 | 81   | 81   | 9459055.107800702   | 8983996.072423978   |
| 359685:8216 | 09/30/22 22:05:59 | 132  | 132  | 20813951.040285673  | 20609750.539343651  |
| 359686:8216 | 09/30/22 23:11:45 | 934  | 934  | 113498493.275199845 | 112635916.851842672 |
| 359691:8220 | 10/01/22 10:46:50 | 121  | 121  | 37593882.255062506  | 35899596.889204696  |
| 359693:8220 | 10/01/22 12:12:09 | 604  | 604  | 166229277.135537118 | 160333807.203217983 |
| 359694:8220 | 10/01/22 16:13:38 | 1080 | 1080 | 218333553.657235026 | 213332297.853749990 |
| 359699:8221 | 10/02/22 02:39:50 | 1856 | 1856 | 417088864.223230004 | 404213392.058929920 |
| 359718:8222 | 10/02/22 20:52:32 | 366  | 366  | 123021576.104388475 | 118125121.558424592 |
| 359750:8223 | 10/03/22 11:38:36 | 135  | 135  | 48573581.125368632  | 46891472.167146437  |
| 359751:8223 | 10/03/22 13:00:20 | 990  | 990  | 309837268.175599039 | 297542494.089383841 |
| 359762:8225 | 10/03/22 23:15:14 | 223  | 223  | 81363624.335285291  | 77813673.609433249  |
| 359763:8225 | 10/04/22 00:48:18 | 458  | 458  | 146611224.014200002 | 141028490.412394673 |
| 359764:8225 | 10/04/22 04:05:26 | 1082 | 1082 | 250979583.246906966 | 242673977.191994876 |
| 359776:8226 | 10/04/22 13:35:49 | 329  | 329  | 212954.369806252    | 212083.831712865    |
| 359806:8228 | 10/04/22 22:42:27 | 368  | 368  | 145427481.209605932 | 138819954.916108191 |
| 359808:8228 | 10/05/22 01:14:08 | 46   | 46   | 17243836.388109744  | 16015319.529846886  |
| 359809:8228 | 10/05/22 01:32:58 | 43   | 43   | 15759533.504131792  | 14802749.156671140  |
| 359810:8228 | 10/05/22 01:51:07 | 182  | 182  | 63249017.187413439  | 60243827.109469280  |
| 359812:8228 | 10/05/22 03:08:59 | 226  | 226  | 71432555.920962274  | 68302877.541313231  |
| 359814:8228 | 10/05/22 04:49:10 | 366  | 366  | 101527001.444563299 | 97874246.597673282  |
| 359870:8230 | 10/05/22 19:06:37 | 6    | 6    | 2354170.146171667   | 2162902.677159529   |
| 359871:8230 | 10/05/22 19:13:55 | 228  | 228  | 101377586.863072753 | 95572914.907884493  |
| 359887:8232 | 10/06/22 05:08:19 | 473  | 473  | 316269.875639505    | 315041.760062346    |
| 359899:8233 | 10/06/22 10:25:20 | 286  | 286  | 8250927.349891908   | 7678983.292240269   |
| 359903:8233 | 10/06/22 12:28:02 | 12   | 12   | 313350.401085294    | 299217.749001322    |
| 359998:8236 | 10/07/22 16:18:31 | 1891 | 1891 | 584689756.900358319 | 563368647.956319213 |
| 360017:8238 | 10/08/22 11:21:48 | 40   | 40   | 11873594.469238805  | 11262605.200445723  |
