#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 360390:8267 | 10/14/22 20:29:39 | 71   | 71   | 26503160.085626286  | 25442642.725834515  |
| 360391:8267 | 10/14/22 21:01:37 | 4    | 4    | 1669875.761863760   | 1477810.058019959   |
| 360392:8267 | 10/14/22 21:10:16 | 61   | 61   | 24688270.539631773  | 23325403.622550406  |
| 360393:8267 | 10/14/22 21:36:29 | 124  | 124  | 50940401.239132106  | 47824214.655795105  |
| 360400:8269 | 10/15/22 02:47:39 | 80   | 80   | 24237895.661534857  | 23151013.723840572  |
| 360413:8272 | 10/15/22 09:30:37 | 90   | 90   | 36301418.159063451  | 34599075.603971086  |
| 360428:8273 | 10/15/22 13:03:01 | 74   | 74   | 28621289.676605448  | 26745521.105874784  |
| 360432:8273 | 10/15/22 13:53:32 | 28   | 28   | 11561614.361796018  | 10853888.865640322  |
| 360435:8273 | 10/15/22 14:15:34 | 48   | 48   | 19464846.440652009  | 18197699.079987906  |
| 360437:8273 | 10/15/22 14:45:40 | 40   | 40   | 16446479.626143990  | 15808540.956904707  |
| 360438:8273 | 10/15/22 15:05:14 | 6    | 6    | 2445763.114202845   | 2290808.193381722   |
| 360458:8274 | 10/15/22 20:24:36 | 184  | 184  | 66492771.582305014  | 62719487.860021546  |
| 360459:8274 | 10/15/22 21:47:03 | 1332 | 1332 | 460444665.986638069 | 441502660.617612064 |
| 360460:8274 | 10/16/22 06:28:58 | 1077 | 1077 | 229956420.038996607 | 222677967.365940452 |
| 360486:8276 | 10/16/22 17:01:39 | 278  | 278  | 110621658.049232185 | 104593332.873183504 |
| 360490:8276 | 10/16/22 19:58:49 | 1177 | 1177 | 367764338.597816646 | 351555488.926748872 |
| 360491:8276 | 10/17/22 03:43:58 | 176  | 176  | 39216910.015309952  | 37891776.266531669  |
| 360737:8289 | 10/19/22 10:35:46 | 18   | 18   | 851659.617310324    | 836037.937994132    |
| 360761:8293 | 10/19/22 15:02:57 | 157  | 157  | 9142650.436930388   | 8969232.224512797   |
| 360794:8295 | 10/19/22 23:57:32 | 677  | 677  | 262287339.952388704 | 250062527.765805244 |
| 360795:8295 | 10/20/22 04:25:12 | 395  | 395  | 146771959.780583024 | 140801555.345715582 |
| 360797:8295 | 10/20/22 10:44:41 | 5    | 5    | 1333206.306850503   | 1301374.914466646   |
| 360820:8297 | 10/20/22 13:48:58 | 885  | 885  | 364424802.203668475 | 346040071.868025899 |
| 360825:8297 | 10/20/22 20:18:01 | 357  | 357  | 118406833.666426197 | 113050162.647425279 |
| 360826:8297 | 10/20/22 22:40:06 | 117  | 117  | 35119681.196925424  | 33474419.307155605  |
| 360856:8299 | 10/21/22 11:12:56 | 56   | 56   | 3112128.686626510   | 3018575.121471812   |
| 360874:8301 | 10/21/22 16:54:01 | 52   | 52   | 3089442.432706869   | 2988062.658389543   |
| 360876:8301 | 10/21/22 17:32:25 | 341  | 341  | 21325600.684284624  | 20787529.224062726  |
| 360887:8302 | 10/21/22 22:37:33 | 122  | 122  | 45630232.227980822  | 42720538.893877991  |
| 360888:8302 | 10/21/22 23:28:39 | 289  | 289  | 127723110.514295608 | 121238325.170179710 |
| 360889:8302 | 10/22/22 01:26:51 | 23   | 23   | 10148341.015114073  | 8568908.312957238   |
| 360890:8302 | 10/22/22 01:43:25 | 504  | 504  | 196535201.484169930 | 188136627.369979769 |
| 360892:8302 | 10/22/22 05:12:52 | 296  | 296  | 95374650.039264306  | 91858206.361538485  |
| 360895:8302 | 10/22/22 07:34:19 | 700  | 700  | 179352376.461825639 | 174159026.469077349 |
| 360919:8304 | 10/22/22 16:02:12 | 796  | 796  | 336177820.285297036 | 319521970.936044097 |
| 360920:8304 | 10/22/22 21:13:19 | 4    | 4    | 1595643.177832992   | 1359518.735706093   |
| 360921:8304 | 10/22/22 21:17:35 | 218  | 218  | 82092331.991150662  | 78453571.385748357  |
| 360927:8305 | 10/23/22 01:07:12 | 1887 | 1887 | 682756579.808320761 | 652822048.990637779 |
| 360941:8306 | 10/23/22 15:40:28 | 72   | 72   | 26135965.236577142  | 24654877.353506647  |
| 360942:8306 | 10/23/22 16:14:08 | 344  | 344  | 148392561.313287407 | 140122149.896497548 |
| 360945:8306 | 10/23/22 18:45:57 | 91   | 91   | 39132708.960196309  | 36949265.662263162  |
| 360946:8306 | 10/23/22 19:27:46 | 364  | 364  | 147126336.526786089 | 140162932.309337050 |
| 360948:8306 | 10/23/22 22:02:16 | 119  | 119  | 42654568.000517175  | 40853050.282274522  |
| 360950:8306 | 10/23/22 22:53:44 | 716  | 716  | 215910293.890426397 | 207382556.337302476 |
| 360951:8306 | 10/24/22 03:37:03 | 190  | 190  | 45617179.728308268  | 43960037.433975406  |
| 360991:8307 | 10/24/22 10:26:00 | 230  | 230  | 27208547.298933383  | 26243269.171720557  |
| 360992:8307 | 10/24/22 11:58:16 | 99   | 99   | 10850904.698925706  | 10584723.295030693  |
| 361020:8309 | 10/24/22 17:05:24 | 397  | 397  | 26407113.506751489  | 25246170.164489955  |
| 361044:8311 | 10/25/22 00:04:00 | 125  | 125  | 48218883.739285700  | 45334159.965846226  |
| 361045:8311 | 10/25/22 00:55:11 | 945  | 945  | 390691853.890401244 | 371256046.056004763 |
| 361050:8311 | 10/25/22 07:24:55 | 10   | 10   | 3460266.566882571   | 3107562.573956618   |
| 361052:8311 | 10/25/22 07:34:37 | 65   | 65   | 21532870.581977166  | 20413472.129264988  |
| 361054:8311 | 10/25/22 08:06:43 | 461  | 461  | 135718261.251921058 | 129990687.410637423 |
| 361083:8312 | 10/25/22 14:24:52 | 54   | 54   | 7485032.229368022   | 7048473.080480365   |
| 361091:8313 | 10/25/22 16:40:42 | 381  | 381  | 50560364.902473517  | 49053426.626009591  |
| 361105:8314 | 10/25/22 23:35:51 | 408  | 408  | 147314741.775303900 | 139813801.670749307 |
| 361106:8314 | 10/26/22 02:21:11 | 31   | 31   | 11263795.894096659  | 10482958.114244193  |
| 361107:8314 | 10/26/22 02:35:30 | 156  | 156  | 57643262.643308103  | 54614864.977480546  |
| 361108:8314 | 10/26/22 03:38:10 | 6    | 6    | 2268138.688393421   | 2056527.237777079   |
| 361110:8314 | 10/26/22 03:43:42 | 197  | 197  | 68709112.450517386  | 64733409.677889496  |
| 361188:8315 | 10/26/22 18:31:48 | 141  | 141  | 60609232.950129129  | 54126025.983643562  |
| 361193:8315 | 10/26/22 19:27:44 | 29   | 29   | 12388788.888253583  | 10963701.165245509  |
| 361195:8315 | 10/26/22 19:41:33 | 20   | 20   | 8698273.652490087   | 7871227.494668365   |
| 361197:8315 | 10/26/22 19:58:35 | 2147 | 2147 | 732445867.558842897 | 676620334.518001437 |
| 361223:8316 | 10/27/22 13:21:53 | 695  | 695  | 293704179.932209909 | 269672691.821779728 |
| 361239:8317 | 10/27/22 20:30:03 | 1050 | 1050 | 438151085.594710946 | 418557407.140322328 |
| 361240:8317 | 10/28/22 03:22:52 | 1015 | 1015 | 298465563.077086329 | 287573239.579914987 |
| 361272:8319 | 10/28/22 12:59:35 | 125  | 125  | 51676843.059778057  | 49330557.130144894  |
| 361280:8319 | 10/28/22 13:56:59 | 267  | 267  | 114338097.033927873 | 108477821.836479679 |
| 361283:8319 | 10/28/22 15:46:07 | 26   | 26   | 11136535.704011871  | 10478440.541035868  |
| 361284:8319 | 10/28/22 16:01:19 | 36   | 36   | 15206785.670465453  | 14525042.314011699  |
| 361297:8320 | 10/28/22 20:09:25 | 930  | 930  | 390741794.650767863 | 372020681.911071122 |
| 361303:8321 | 10/29/22 06:03:41 | 2230 | 2230 | 786845074.235436440 | 753589702.343840003 |
| 361318:8322 | 10/29/22 23:24:18 | 457  | 457  | 193157287.756567895 | 183991743.835396111 |
| 361319:8322 | 10/30/22 02:23:53 | 162  | 162  | 69783154.603666365  | 67139753.393967941  |
| 361320:8322 | 10/30/22 03:42:47 | 382  | 382  | 151600807.083082110 | 145193894.950502038 |
| 361333:8324 | 10/30/22 10:06:23 | 302  | 302  | 123319042.588429853 | 117605013.860604972 |
| 361361:8327 | 10/31/22 02:35:36 | 45   | 45   | 17697843.085299131  | 14658950.149271546  |
| 361362:8327 | 10/31/22 02:56:29 | 28   | 28   | 6824697.877118839   | 6250108.768281463   |
| 361363:8327 | 10/31/22 03:10:21 | 22   | 22   | 8861817.070176613   | 7777626.407737846   |
| 361365:8327 | 10/31/22 04:28:09 | 466  | 466  | 199323957.534729242 | 188133557.759812802 |
| 361366:8327 | 10/31/22 07:40:32 | 201  | 201  | 76689421.608942091  | 72300121.349009603  |
| 361400:8330 | 10/31/22 17:20:30 | 456  | 456  | 189123414.164083123 | 179549245.031284511 |
| 361417:8331 | 11/01/22 04:24:44 | 1622 | 1622 | 626878967.433790326 | 599746610.346275210 |
| 361443:8333 | 11/01/22 18:11:32 | 2274 | 2274 | 802444018.132224441 | 770253413.959026694 |
| 361468:8334 | 11/02/22 11:35:09 | 1881 | 1881 | 734338921.103543878 | 695724087.370247722 |
| 361475:8335 | 11/03/22 02:17:51 | 1228 | 1228 | 501822693.714250147 | 480134427.584872603 |
| 361512:8342 | 11/03/22 20:42:36 | 1537 | 1537 | 599549862.670180678 | 574518877.571902990 |
| 361569:8345 | 11/04/22 21:57:59 | 564  | 564  | 236592177.117245942 | 225755243.627892971 |
| 361573:8345 | 11/05/22 01:48:32 | 305  | 305  | 127214891.162980601 | 121254607.794879690 |
| 361579:8347 | 11/05/22 08:31:22 | 862  | 862  | 359673527.468533695 | 341310257.689998925 |
| 361580:8347 | 11/05/22 14:12:59 | 422  | 422  | 145582276.324109703 | 139653630.520630568 |
| 361957:8385 | 11/12/22 07:34:53 | 1163 | 1163 | 330071962.240208566 | 320503711.973727345 |
| 361971:8387 | 11/12/22 17:51:38 | 2342 | 2342 | 814941360.569315672 | 781710961.046943545 |
