#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 370667:9066 | 07/14/23 08:10:37 | 100  | 100  | 39251388.416087233  | 36956093.392863512  |
| 370717:9067 | 07/15/23 01:10:34 | 119  | 119  | 37419762.477687977  | 35761816.869209372  |
| 370725:9068 | 07/15/23 05:14:16 | 411  | 411  | 180083007.191515386 | 170297044.943659306 |
| 370749:9070 | 07/15/23 17:21:12 | 1488 | 1488 | 647189580.723433018 | 616521925.373299479 |
| 370753:9070 | 07/16/23 03:18:42 | 199  | 199  | 60419934.672836371  | 58383255.208942376  |
| 370772:9072 | 07/16/23 07:59:39 | 1219 | 1219 | 560919665.815994382 | 533064189.230769753 |
| 370774:9072 | 07/16/23 16:07:33 | 159  | 159  | 59896496.706404544  | 55099322.108274564  |
| 370775:9072 | 07/16/23 17:11:40 | 168  | 168  | 57535970.115990989  | 53347565.547560640  |
| 370776:9072 | 07/16/23 18:19:32 | 326  | 326  | 97975064.510578498  | 94237974.873223916  |
| 370790:9073 | 07/16/23 22:51:09 | 23   | 23   | 3394898.477121701   | 2971679.731820756   |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 6     | 10   | 4212 | 4212 | 1744085769.107650042 | 1656640867.279623508 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
